标题,开发商,房子信息,发布信息,售价/万,单价
中华园大三房 户型方正 采光通风好 满五唯一税费低,中华园教师村 -鹤山市,3室2厅 | 106.59平米 | 南 | 精装 | 高楼层(共8层)  | 板楼,1人关注 / 12天以前发布,19.5,"1,830元/平"
富力电梯高层 毛坯四房 采光通风好 格局好 总价低,富力·尚悦居 -鹤山市,4室2厅 | 114.94平米 | 南 | 毛坯 | 高楼层(共33层)  | 暂无数据,0人关注 / 6天以前发布,50.8,"4,420元/平"
业主重金装修的，现在割爱转让！,凤山水岸 -双龙,3室1厅 | 132平米 | 南 | 精装 | 低楼层(共11层)  | 板楼,0人关注 / 7天以前发布,111,"8,410元/平"
华桥新村三区 3室1厅 南,华桥新村三区 -鹤山市,3室1厅 | 113.62平米 | 南 | 精装 | 低楼层(共7层)  | 暂无数据,0人关注 / 8天以前发布,48,"4,225元/平"
精装修 全新未住，即买即入住，无占用户口,博富名苑 -枢纽新城,3室2厅 | 88平米 | 南 | 精装 | 高楼层(共31层)  | 暂无数据,0人关注 / 5天以前发布,115,"13,069元/平"
碧桂园傲湖峰 617方大花园 装修保养靓,碧桂园-傲湖峰 -鹤山市,7室2厅 | 393平米 | 南 北 | 其他 | 3层  | 板楼 | 独栋别墅 ,6人关注 / 一年前发布,540,"13,741元/平"
长塘一街大三房 室内上100方大露台 铺好大理石跟铁棚,长塘一街 -鹤山市,3室2厅 | 110平米 | 南 | 其他 | 高楼层(共7层)  | 暂无数据,3人关注 / 28天以前发布,21.8,"1,982元/平"
尚城雅居 三房两卫 毛坯 低楼层,尚城雅居 -鹤山市,3室1厅 | 96平米 | 南 | 毛坯 | 高楼层(共11层)  | 塔楼,0人关注 / 19天以前发布,52,"5,417元/平"
3房出售/精装/41.8万/低首付,良化新村西 -良化北街,3室2厅 | 75平米 | 南 | 精装 | 中楼层(共8层)  | 板楼,0人关注 / 28天以前发布,41.8,"5,574元/平"
房子重新精装修，领包入住，价格美丽,怡居苑 -育德,3室2厅 | 93.23平米 | 南 | 精装 | 中楼层(共8层)  | 板楼,1人关注 / 27天以前发布,59.8,"6,415元/平"
金都花园低层  精装修3房  对流户型,金都花园 -白沙农林,3室2厅 | 72.3平米 | 南 | 简装 | 中楼层(共9层)  | 暂无数据,0人关注 / 2个月以前发布,43,"5,948元/平"
准现房全新小区，安静舒适绿化高，配套完善，毛坯交付,万象华府 -棠下,3室2厅 | 96平米 | 东南 | 其他 | 中楼层(共33层)  | 暂无数据,0人关注 / 16天以前发布,78,"8,125元/平"
方圆云山诗意 高层 精装4房 惊喜价 出售,方圆·云山诗意（新会） -经济开发,4室2厅 | 106平米 | 西北 | 其他 | 高楼层(共31层)  | 平房,0人关注 / 14天以前发布,86.6,"8,170元/平"
国家4A级大雁山风景区脚下 全新未入住  可低首付,时代倾城（鹤山） -鹤山市,3室2厅 | 93.44平米 | 东南 | 精装 | 低楼层(共21层)  | 板楼,0人关注 / 10天以前发布,58,"6,208元/平"
阳光花园 小区管理 近鹤山广场 三房双套间 南向,阳光花园 -鹤山市,3室1厅 | 108.76平米 | 南 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 13天以前发布,66,"6,069元/平"
天河西路中楼层，3房2厅，光线充足,天河西路 -双龙,3室2厅 | 100.24平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,1人关注 / 5个月以前发布,43,"4,290元/平"
房子坐落在时代雁山湖原生态风景区 24小时安保,时代雁山湖 -鹤山市,3室2厅 | 93.21平米 | 南 | 精装 | 低楼层(共23层)  | 暂无数据,0人关注 / 10天以前发布,52,"5,579元/平"
望小区园林，业主装修保养干净，带家私家电，拎包入住,骏景湾豪庭(蓬江区) -北新区,3室2厅 | 132.64平米 | 南 北 | 精装 | 中楼层(共11层)  | 板塔结合,1人关注 / 1个月以前发布,123,"9,274元/平"
靓楼层.采光通风好.装修新净.价格适中.,时代倾城（鹤山） -鹤山市,3室2厅 | 94平米 | 南 | 精装 | 中楼层(共33层)  | 暂无数据,1人关注 / 9天以前发布,55,"5,852元/平"
"中层四房户型,光线充足,对流户型。",港口一路 -江华港口,4室2厅 | 120.9平米 | 西 东 | 精装 | 中楼层(共7层)  | 板楼,6人关注 / 11个月以前发布,39,"3,226元/平"
复式大露台，实用性三房，旺中带静，总价低,冈州大道中 -中心城区,3室1厅 | 72平米 | 东 | 其他 | 高楼层(共7层)  | 暂无数据,20人关注 / 8个月以前发布,33,"4,584元/平"
南景湾低楼层，格局实用，业主诚心出售,南景湾 -鹤山市,3室2厅 | 85.41平米 | 南 | 其他 | 低楼层(共8层)  | 板塔结合,1人关注 / 1个月以前发布,50,"5,855元/平"
碧桂园小户型带装修中层，适合出租和自主,共和碧桂园悦湖湾 -鹤山市,3室2厅 | 103平米 | 南 北 | 精装 | 低楼层(共18层)  | 塔楼,8人关注 / 10个月以前发布,49.8,"4,835元/平"
满五唯一税费少 一手业主精装保养新 随时可看房价格低,海逸华庭 -外海,4室2厅 | 165平米 | 南 | 精装 | 中楼层(共24层)  | 暂无数据,0人关注 / 26天以前发布,158,"9,576元/平"
灵镇西街 南北对流 采光通风好 业主诚心出售,灵镇西街 -中心城区,3室1厅 | 95平米 | 南 北 | 其他 | 高楼层(共8层)  | 暂无数据,0人关注 / 8天以前发布,37.8,"3,979元/平"
融创一字大三房，前后无遮挡，满二税费低，首付价格低,融创御府 -鹤山市,3室2厅 | 92.69平米 | 南 | 毛坯 | 中楼层(共31层)  | 塔楼,0人关注 / 8天以前发布,46,"4,963元/平"
奕聪花园 3室1厅 南,奕聪花园 -外海,3室1厅 | 91平米 | 南 | 毛坯 | 高楼层(共32层)  | 塔楼,0人关注 / 5天以前发布,80,"8,792元/平"
滨港·御城 3室2厅 南,滨港·御城 -北新区,3室2厅 | 108平米 | 南 | 精装 | 低楼层(共28层)  | 板塔结合,0人关注 / 3天以前发布,90,"8,334元/平"
汇悦城旁，网红湖景小区，环境优美！,骏景湾豪庭(蓬江区) -北新区,2室2厅 | 91.57平米 | 南 | 精装 | 中楼层(共9层)  | 板塔结合,0人关注 / 10天以前发布,88,"9,611元/平"
成熟小区低楼层2房，进汇悦城等,育德安居 -育德,2室1厅 | 61.84平米 | 南 | 简装 | 中楼层(共8层)  | 板楼,0人关注 / 3个月以前发布,45,"7,277元/平"
业主急售，人民西路。户型方正南向！不用补地价！,人民西路 -鹤山市,2室1厅 | 60平米 | 北 | 简装 | 高楼层(共8层)  | 暂无数据,140人关注 / 一年前发布,9,"1,500元/平"
木朗旁一房一厅 新装修13.8万,平芦名苑 -杜阮,1室1厅 | 25.5平米 | 南 | 精装 | 低楼层(共9层)  | 板塔结合,0人关注 / 3个月以前发布,13.8,"5,412元/平"
农林东路29号 3室2厅 东南,农林东路29号 -白沙农林,3室2厅 | 93.49平米 | 东南 | 精装 | 高楼层(共7层)  | 塔楼,0人关注 / 17天以前发布,46,"4,921元/平"
绿地公园城 4室2厅 南,绿地公园城 -鹤山市,4室2厅 | 108平米 | 南 | 毛坯 | 中楼层(共33层)  | 暂无数据,0人关注 / 16天以前发布,80,"7,408元/平"
江海万达旁江海碧桂园精装朝南户型拎包入住,江海碧桂园 -外海,3室1厅 | 97平米 | 南 | 简装 | 中楼层(共18层)  | 板塔结合,0人关注 / 11天以前发布,87,"8,970元/平"
业主诚心出售 高楼层 满五唯一 视野无遮挡,江海碧桂园 -外海,3室2厅 | 86.93平米 | 西南 | 精装 | 高楼层(共25层)  | 板塔结合,6人关注 / 3个月以前发布,77,"8,858元/平"
蓝鸟花园2楼户型好南向小区管理配套好实用三房带套间,蓝鸟花园 -鹤山市,3室2厅 | 102.2平米 | 东南 | 精装 | 低楼层(共7层)  | 暂无数据,0人关注 / 2个月以前发布,49,"4,795元/平"
富康小区 正规大三房 南北对流 望育德公园 保养很好,富康小区 -育德,3室2厅 | 116.86平米 | 南 | 精装 | 高楼层(共8层)  | 板塔结合,1人关注 / 3个月以前发布,63.8,"5,460元/平"
市区三房 楼层适中 坐北朝南 视野开阔,人民一巷 -鹤山市,3室1厅 | 89平米 | 南 北 | 简装 | 中楼层(共5层)  | 平房,3人关注 / 3个月以前发布,18,"2,023元/平"
业主诚意出售    户型方正    采光好    装修保养新,天悦星院 -滨江新区,4室2厅 | 125.52平米 | 东南 | 精装 | 中楼层(共32层)  | 板塔结合,0人关注 / 1个月以前发布,159,"12,668元/平"
胜利新村南北对流 中层户型 118方 59.8万 三房2厅,胜利新城住宅小区 -白沙农林,3室2厅 | 117.94平米 | 南 | 简装 | 高楼层(共10层)  | 板塔结合,2人关注 / 11个月以前发布,60.8,"5,156元/平"
房子平靓正，价格可商量。业主急售,五邑碧桂园漫绿二期 -杜阮,3室2厅 | 89.57平米 | 东南 | 精装 | 高楼层(共15层)  | 暂无数据,0人关注 / 1个月以前发布,73.4,"8,195元/平"
叠彩轩大花园  保养装修好 价钱可以商量,碧桂园-叠彩轩 -鹤山市,3室2厅 | 95.57平米 | 东南 西北 | 精装 | 低楼层(共6层)  | 板楼,1人关注 / 2个月以前发布,76.5,"8,005元/平"
双龙广场旁天河西路中层单价总价低,天河西路 -双龙,4室2厅 | 125平米 | 南 | 简装 | 中楼层(共7层)  | 板塔结合,0人关注 / 1个月以前发布,45,"3,600元/平"
汇景湾 东南向 望江景 靓楼层 价格实际 小区环境好！,锦富•汇景湾 -滨江新区,4室2厅 | 115.39平米 | 南 | 毛坯 | 高楼层(共22层)  | 板楼,3人关注 / 一年前发布,125,"10,833元/平"
保利中央公园 5房 双阳台南北对流 毛坯房,保利中央公园 -鹤山市,5室2厅 | 165.25平米 | 南 | 毛坯 | 低楼层(共32层)  | 塔楼,4人关注 / 9个月以前发布,123,"7,444元/平"
对流的格局通风透光，房子满五唯一，带装修拎包入住,君汇熙庭 -外海,3室2厅 | 103.88平米 | 南 | 精装 | 低楼层(共20层)  | 平房,0人关注 / 31天以前发布,83.8,"8,068元/平"
金禧花园，精装修，4房2厅2卫,金禧花园 -经济开发,4室2厅 | 118平米 | 南 北 | 精装 | 高楼层(共27层)  | 暂无数据,0人关注 / 20天以前发布,90,"7,628元/平"
新华城对流3+1空间实用户型， 采光好 精装修领包入住,鹤山新华城 -鹤山市,4室2厅 | 126平米 | 东南 | 其他 | 中楼层(共29层)  | 塔楼,0人关注 / 24天以前发布,101.5,"8,056元/平"
奥园 峻廷湾 中层 三房两卫 南向,奥园峻廷湾 -鹤山市,3室2厅 | 100平米 | 南 | 其他 | 中楼层(共34层)  | 暂无数据,0人关注 / 25天以前发布,77.5,"7,750元/平"
汇悦城旁育德怡兴苑小区中层，对流户型，采光靓仔,怡兴苑 -育德,2室2厅 | 66平米 | 南 | 精装 | 中楼层(共8层)  | 板楼,1人关注 / 29天以前发布,45.8,"6,940元/平"
北湖公园旁 精装两房 楼层适中 户型方正 配套齐全,鹤山市新航路安居工程住宅小区 -鹤山市,2室1厅 | 68平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 8个月以前发布,31,"4,559元/平"
鹤山碧桂园叠彩轩步梯低层保养新,碧桂园-叠彩轩 -鹤山市,2室1厅 | 79.17平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,38.8,"4,901元/平"
老少皆宜 电梯房 小区绿化好 欢迎看房,腾基御苑 -其他城区,3室2厅 | 82.54平米 | 南 | 毛坯 | 低楼层(共17层)  | 暂无数据,1人关注 / 一年前发布,40,"4,847元/平"
两房小户型  非顶楼  南北对流一字楼,江华一路 -江华港口,2室2厅 | 78.38平米 | 北 南 | 简装 | 高楼层(共7层)  | 暂无数据,1人关注 / 6个月以前发布,27,"3,445元/平"
江门奥园3房2卫带装修拎包入住,江门奥园冠军城 -双龙,3室2厅 | 92平米 | 北 | 精装 | 高楼层(共16层)  | 塔楼,0人关注 / 23天以前发布,83,"9,022元/平"
此房满五不唯一， 没抵押， 市区位置 ，配套完善,新升苑 -鹤山市,3室2厅 | 110.23平米 | 南 | 精装 | 中楼层(共8层)  | 平房,0人关注 / 1个月以前发布,33.8,"3,067元/平"
业主精装修，步健3楼，低楼层，阳台向南，,五福四街小区 -双龙,3室2厅 | 86平米 | 南 | 精装 | 低楼层(共9层)  | 板楼,0人关注 / 20天以前发布,48,"5,582元/平"
水云天低层 业主重金装修 价格可议,大泽碧桂园山湖湾 -其他城区,3室2厅 | 93.78平米 | 南 | 精装 | 低楼层(共20层)  | 暂无数据,0人关注 / 31天以前发布,47.5,"5,066元/平"
江门东站旁合景精装拎包入住全新未入住过,合景叠翠峰 -府西,3室2厅 | 83.07平米 | 南 | 精装 | 中楼层(共32层)  | 暂无数据,0人关注 / 27天以前发布,86,"10,353元/平"
九章洋房，前后无遮挡，带家私家电，装修新净车位可买,十里方圆―九章 -鹤山市,3室2厅 | 106.24平米 | 南 | 精装 | 高楼层(共32层)  | 塔楼,30人关注 / 一年前发布,68,"6,401元/平"
白沙大道西小区 2室2厅 南,白沙大道西小区 -白沙农林,2室2厅 | 73平米 | 南 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 6天以前发布,36.8,"5,042元/平"
00年良化西 中层装修新净3大房 上车房,良化新村西 -良化北街,3室2厅 | 99.44平米 | 南 北 | 精装 | 中楼层(共8层)  | 暂无数据,0人关注 / 14天以前发布,49.8,"5,009元/平"
明泰城 4室2厅 南,明泰城 -府西,4室2厅 | 124平米 | 南 | 其他 | 低楼层(共33层)  | 板塔结合,0人关注 / 16天以前发布,110,"8,871元/平"
精致装修保养好  视野开阔采光好,珠江帝景湾 -白沙农林,3室2厅 | 130.92平米 | 东南 | 精装 | 低楼层(共24层)  | 板楼,0人关注 / 3个月以前发布,113,"8,632元/平"
振兴三路 采光充足 新装修 业主诚心出售,振兴三路 -中心城区,3室2厅 | 85平米 | 南 北 | 其他 | 中楼层(共8层)  | 暂无数据,0人关注 / 15天以前发布,56.8,"6,683元/平"
方直·珑湖湾 4室2厅 南,方直·珑湖湾 -滨江新区,4室2厅 | 144.86平米 | 南 | 其他 | 中楼层(共32层)  | 塔楼,0人关注 / 10天以前发布,195,"13,462元/平"
柏丽郡 大社区 中层大三房，安静不吵,新会碧桂园·柏丽郡 -枢纽新城,3室2厅 | 89.5平米 | 北 | 精装 | 高楼层(共24层)  | 塔楼,0人关注 / 2个月以前发布,95,"10,615元/平"
范小锦富汇景湾高层景观好，看湖景，采光好精装修。,锦富•汇景湾 -滨江新区,3室1厅 | 109平米 | 东南 南 | 精装 | 高楼层(共25层)  | 塔楼,0人关注 / 14天以前发布,113,"10,367元/平"
育德安居 2室1厅 南,育德安居 -育德,2室1厅 | 83平米 | 南 | 其他 | 高楼层(共8层)  | 板楼,0人关注 / 6天以前发布,46,"5,543元/平"
格局好，视野宽阔，采光充足，配套设施齐全，交通便利,叠翠苑B区 -中心城区,3室2厅 | 118平米 | 南 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 9天以前发布,91.8,"7,780元/平"
此房地段好，通透格局，视野宽阔，采光充足配套齐全。,新地里 -中心城区,3室2厅 | 82平米 | 北 | 其他 | 中楼层(共8层)  | 暂无数据,0人关注 / 12天以前发布,47,"5,732元/平"
育德东小区 2室2厅 南 北,育德东小区 -育德,2室2厅 | 86平米 | 南 北 | 精装 | 高楼层(共8层)  | 板楼,0人关注 / 8天以前发布,61,"7,094元/平"
新升苑  砖仔外墙   三  小 对   面  市区位置,新升苑 -鹤山市,3室2厅 | 105.86平米 | 南 | 其他 | 高楼层(共8层)  | 暂无数据,0人关注 / 16天以前发布,33.8,"3,193元/平"
新会碧桂园，正规三房两厅两阳台，装修新净，望别墅,新会碧桂园 -枢纽新城,3室2厅 | 120.42平米 | 南 北 | 精装 | 中楼层(共10层)  | 板塔结合,12人关注 / 3个月以前发布,92,"7,640元/平"
恒昌花园 鹤山广场旁边 配套成熟交通方便 大露台,恒昌花园 -鹤山市,3室2厅 | 109.33平米 | 东南 西北 | 简装 | 高楼层(共8层)  | 暂无数据,0人关注 / 6个月以前发布,23,"2,104元/平"
业主急出，小区环境优美，配套齐全。,天鹅湾 -河南,3室2厅 | 128平米 | 南 | 精装 | 中楼层(共24层)  | 暂无数据,0人关注 / 1个月以前发布,115,"8,985元/平"
凯旋城电梯洋房 业主急售 南北对流 采光通透,凯旋城 -鹤山市,3室2厅 | 106平米 | 南 | 其他 | 高楼层(共28层)  | 塔楼,0人关注 / 9天以前发布,74.5,"7,029元/平"
龙溪新城 2室1厅 南,龙溪新城 -外海,2室1厅 | 74.96平米 | 南 | 其他 | 中楼层(共30层)  | 板塔结合,0人关注 / 5天以前发布,71.2,"9,499元/平"
怡华花园准电梯复式楼，空中别墅3层使用 带大露台,怡华花园 -中心城区,3室3厅 | 131平米 | 南 北 | 精装 | 高楼层(共9层)  | 板楼,3人关注 / 1个月以前发布,75,"5,726元/平"
滨江保利二期中汇花园，毛坯，南北对流户型。,保利·中汇花园二期 -滨江新区,4室2厅 | 124.32平米 | 东南 北 | 毛坯 | 低楼层(共25层)  | 塔楼,0人关注 / 10天以前发布,120,"9,653元/平"
小范苑 3室2厅 东南,小范苑 -鹤山市,3室2厅 | 117.95平米 | 东南 | 其他 | 中楼层(共7层)  | 板楼,2人关注 / 3个月以前发布,37.5,"3,180元/平"
奕聪花园 2室1厅 南,奕聪花园 -外海,2室1厅 | 78平米 | 南 | 其他 | 高楼层(共31层)  | 板塔结合,0人关注 / 5天以前发布,70,"8,975元/平"
雅景园 4室3厅 南,雅景园 -鹤山市,4室3厅 | 163平米 | 南 | 精装 | 高楼层(共8层)  | 暂无数据,1人关注 / 1个月以前发布,52,"3,191元/平"
银泉花园低楼层，带平台，精装修，拎包入住,银泉花园C区 -河南,2室1厅 | 80平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,1人关注 / 12天以前发布,68.8,"8,600元/平"
业主诚心出售    采光好    户型正,育德安居 -育德,2室1厅 | 74平米 | 东南 | 精装 | 高楼层(共8层)  | 平房,0人关注 / 8天以前发布,40.8,"5,514元/平"
东区 创新 华庆园 83方 三房二厅一卫 精装 柠包入住,华庆园二期 -中心城区,3室2厅 | 83平米 | 东南 | 精装 | 中楼层(共7层)  | 平房,0人关注 / 12天以前发布,63.8,"7,687元/平"
生活配套成熟，设施齐全，拎包入住,幸福新村 -白沙农林,3室2厅 | 75.91平米 | 南 北 | 简装 | 高楼层(共8层)  | 板塔结合,11人关注 / 一年前发布,25,"3,294元/平"
下楼即是大型商场  旁边就是公园  家电齐全  生活便利,万达广场 -北新区,1室1厅 | 55.18平米 | 北 | 精装 | 低楼层(共27层)  | 塔楼,1人关注 / 4个月以前发布,32.7,"5,927元/平"
江海碧桂园精装两房满五唯一拎包入住,江海碧桂园 -外海,2室2厅 | 75.67平米 | 北 | 精装 | 中楼层(共32层)  | 板塔结合,5人关注 / 6个月以前发布,70,"9,251元/平"
楼层低，装修保养好，满五唯一，税费低。,和平路 -鹤山市,3室2厅 | 93平米 | 南 | 精装 | 中楼层(共8层)  | 板塔结合,3人关注 / 一年前发布,26,"2,796元/平"
鹤山新华城 3室2厅 南,鹤山新华城 -鹤山市,3室2厅 | 121平米 | 南 | 毛坯 | 中楼层(共29层)  | 塔楼,1人关注 / 1个月以前发布,91,"7,521元/平"
绿地公园城中高层3+1房南向公园景观,绿地公园城 -鹤山市,4室2厅 | 110.83平米 | 东南 | 毛坯 | 中楼层(共33层)  | 板塔结合,0人关注 / 4个月以前发布,88.8,"8,013元/平"
保利稀有飞机户型， 价格美丽， 环境优美， 居住舒适,保利中央公园 -鹤山市,4室2厅 | 136平米 | 东南 | 毛坯 | 低楼层(共32层)  | 塔楼,1人关注 / 3个月以前发布,119.5,"8,787元/平"
此房满五 三房两卫 业主诚心出售,翡翠华府(江海区) -外海,3室2厅 | 98.19平米 | 东南 | 毛坯 | 低楼层(共17层)  | 板塔结合,0人关注 / 1个月以前发布,80,"8,148元/平"
城区中楼层靓房，单价低，装修环境好，另带7平方车库,人民西路 -鹤山市,3室2厅 | 80.1平米 | 南 | 简装 | 中楼层(共8层)  | 板楼,41人关注 / 10个月以前发布,17.8,"2,223元/平"
双龙大湾里中层新装修，拎包入住,大湾里 -双龙,4室2厅 | 125平米 | 南 | 精装 | 中楼层(共8层)  | 暂无数据,0人关注 / 1个月以前发布,62.8,"5,024元/平"
江华片区 中间楼层 全新装修 家私电器齐全,梧岗里 -江华港口,3室2厅 | 89平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,46.8,"5,259元/平"
中间楼层户型方正，地段优越，交通便利！,北秀苑 -鹤山市,3室1厅 | 68.84平米 | 南 | 简装 | 中楼层(共5层)  | 暂无数据,4人关注 / 2个月以前发布,14.2,"2,063元/平"
江海碧桂园  高楼层视野好  成熟商圈,江海碧桂园 -外海,3室2厅 | 95平米 | 南 | 毛坯 | 高楼层(共18层)  | 暂无数据,0人关注 / 3个月以前发布,77,"8,106元/平"
楼下大大的绿茵足球场[强]助您腾飞[强]东湖公园,伦昌里 -白沙农林,3室2厅 | 93平米 | 南 | 精装 | 中楼层(共6层)  | 暂无数据,1人关注 / 1个月以前发布,49.8,"5,355元/平"
