标题,开发商,房子信息,发布信息,售价/万,单价
房子是电梯房适合养老人居住人文素质高,蓝天中央公园 -市政府商圈,2室2厅 | 94.26平米 | 南 | 精装 | 高楼层(共31层)  | 塔楼,0人关注 / 15天以前发布,57.5,"6,101元/平"
这套房子是三楼 ，适合养老也适合孩子上学陪读居住。,苹果园南区 -铁塔商圈,2室1厅 | 51.6平米 | 东南 | 其他 | 中楼层(共5层)  | 板楼,0人关注 / 5天以前发布,17,"3,295元/平"
开元华庭高层南边一排，不临街，好位置采光好,开元华庭 -开元商圈,3室2厅 | 141.25平米 | 南 | 毛坯 | 高楼层(共24层)  | 板楼,15人关注 / 5个月以前发布,108,"7,647元/平"
安联优越城，适合刚需年轻人 小三口之家,安联优悦城 -四季城商圈,3室2厅 | 93平米 | 南 | 毛坯 | 中楼层(共18层)  | 板塔结合,3人关注 / 一年前发布,55,"5,914元/平"
东方今典御府 经典大四房 户型方正 采光无遮挡,东方今典御府 -西湖商圈,4室2厅 | 141.76平米 | 南 | 毛坯 | 中楼层(共33层)  | 板塔结合,2人关注 / 3个月以前发布,104,"7,337元/平"
交通便利，出行方便，适合任何人居住,嘉泰花苑 -市政府商圈,3室2厅 | 110.67平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,6人关注 / 11个月以前发布,52,"4,699元/平"
临湖观景，中间楼层，小区环境很美,郑开橄榄城丹堤 -西湖商圈,3室2厅 | 97.76平米 | 南 | 毛坯 | 中楼层(共26层)  | 暂无数据,13人关注 / 6个月以前发布,77,"7,877元/平"
此房有两个卧室朝南，中间楼层，高楼层，阳光充足,东方今典御府 -西湖商圈,3室2厅 | 116.51平米 | 南 | 毛坯 | 高楼层(共33层)  | 板塔结合,1人关注 / 一年前发布,79,"6,781元/平"
城墙里一楼带院，三室一厅，小区已经改造完毕,西南城坡路22号院 -相国寺商圈,3室1厅 | 72.34平米 | 南 北 | 简装 | 低楼层(共3层)  | 暂无数据,0人关注 / 1个月以前发布,39,"5,392元/平"
金明华府毛坯现房一楼 房本在手 业主诚心出售,金明华府 -橄榄城商圈,3室2厅 | 108.33平米 | 南 | 毛坯 | 低楼层(共11层)  | 板塔结合,46人关注 / 一年前发布,58,"5,355元/平"
新晋美悦都 好楼层 随时可以过户,新晋美•悦都 -万达商圈,3室2厅 | 130.85平米 | 南 | 毛坯 | 中楼层(共24层)  | 板楼,0人关注 / 2个月以前发布,82,"6,267元/平"
鼎立国际B区一梯一户中间楼层 四叶草户型,鼎立国际城B区 -鼎立商圈,3室2厅 | 139.79平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 塔楼,10人关注 / 6个月以前发布,99,"7,083元/平"
圣桦城大三房二楼大得房率采光好,圣桦城 -青年城商圈,3室2厅 | 131.02平米 | 南 北 | 毛坯 | 低楼层(共20层)  | 板塔结合,29人关注 / 8个月以前发布,82,"6,259元/平"
丹堤洋房  物业环境好  中间位置 看房方便,郑开橄榄城丹堤 -西湖商圈,3室2厅 | 116.19平米 | 南 | 毛坯 | 高楼层(共6层)  | 板塔结合,31人关注 / 7个月以前发布,130,"11,189元/平"
精装三房，户型合理，南北通透，三面采光，业主急售,郑开碧桂园 -万达商圈,3室2厅 | 131.47平米 | 南 北 | 精装 | 低楼层(共18层)  | 暂无数据,1人关注 / 1个月以前发布,103,"7,835元/平"
三叶草户型，方方正正，采光好。,西湖印象 -橄榄城商圈,3室2厅 | 137.12平米 | 南 北 | 毛坯 | 中楼层(共27层)  | 板塔结合,14人关注 / 7个月以前发布,105,"7,658元/平"
郑开碧桂园稀有小三室一楼带活院,郑开碧桂园 -万达商圈,3室2厅 | 113平米 | 南 | 精装 | 低楼层(共18层)  | 暂无数据,28人关注 / 6个月以前发布,112,"9,912元/平"
此房二楼 带储藏室 业主急卖此房,锦绣皇城 -相国寺商圈,2室2厅 | 90平米 | 南 北 | 简装 | 低楼层(共6层)  | 板塔结合,6人关注 / 3个月以前发布,59.9,"6,656元/平"
伟宏天境 小高层 永威物业 一梯两户 环境优美,伟宏天境 -北站商圈,3室2厅 | 138.55平米 | 南 | 毛坯 | 低楼层(共11层)  | 暂无数据,2人关注 / 2个月以前发布,80,"5,775元/平"
萨拉曼卡一楼，适合养老的好房子,萨拉曼卡 -大王屯商圈,3室2厅 | 89.99平米 | 南 | 简装 | 低楼层(共5层)  | 板塔结合,5人关注 / 9个月以前发布,68.9,"7,657元/平"
此房坐北朝南，通透格局，交通方便，采光充足,汉兴上品 -市政府商圈,3室1厅 | 90.91平米 | 东南 | 精装 | 中楼层(共26层)  | 板塔结合,4人关注 / 一年前发布,68.5,"7,535元/平"
二大街 晖达 大三房 视野开阔 环境优美 看房方便,晖达新世界三期 -西湖商圈,3室2厅 | 125.21平米 | 南 北 | 毛坯 | 高楼层(共27层)  | 板塔结合,0人关注 / 1个月以前发布,82.8,"6,613元/平"
安联优悦城 3室1厅 南,安联优悦城 -四季城商圈,3室1厅 | 92.18平米 | 南 | 精装 | 高楼层(共16层)  | 板楼,1人关注 / 3个月以前发布,60,"6,510元/平"
小三室，有地暖，小高层中间楼层，拎包入住，,青年城 -青年城商圈,3室2厅 | 110平米 | 南 西 | 简装 | 中楼层(共24层)  | 板塔结合,32人关注 / 7个月以前发布,61.5,"5,591元/平"
精装修三室，拎包入住，好楼层采光好，舒适度高,润城东区 -集英街商圈,3室2厅 | 89平米 | 南 | 精装 | 高楼层(共28层)  | 板塔结合,1人关注 / 3个月以前发布,68,"7,641元/平"
伟宏天境 环境优美 视野开阔 小区中间位置看房方便,伟宏天境 -北站商圈,3室2厅 | 140.62平米 | 南 北 | 毛坯 | 低楼层(共11层)  | 板塔结合,3人关注 / 4个月以前发布,87,"6,187元/平"
精装小三房急售，有本可贷款，随时看房钥匙。,万丽铂金瀚宫 -开元商圈,3室2厅 | 96.84平米 | 南 | 精装 | 中楼层(共29层)  | 板塔结合,10人关注 / 8个月以前发布,66,"6,816元/平"
集英街，开元上城可观湖，中间楼层，位置佳，交通便利,开元上城 -集英街商圈,3室2厅 | 89.28平米 | 南 | 精装 | 中楼层(共32层)  | 板塔结合,1人关注 / 5个月以前发布,75,"8,401元/平"
首座时代新上房源，126平米标准大三居。,首座时代 -鼎立商圈,3室2厅 | 125.65平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板塔结合,5人关注 / 4个月以前发布,90,"7,163元/平"
楼层好 视野宽阔 采光充足 地理位置优越,晖达新世界三期 -西湖商圈,3室2厅 | 119.6平米 | 南 北 | 精装 | 低楼层(共7层)  | 暂无数据,2人关注 / 4个月以前发布,132,"11,037元/平"
一楼带活院，出行便利配套成熟完善,西苑B区 -大王屯商圈,3室1厅 | 87.88平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,3人关注 / 3个月以前发布,55.9,"6,361元/平"
18号楼房源 视野广阔好采光不错,晖达新世界三期 -西湖商圈,3室2厅 | 114.15平米 | 南 北 | 精装 | 高楼层(共27层)  | 板塔结合,5人关注 / 5个月以前发布,94.5,"8,279元/平"
香樟公馆，纯洋房社区，一梯两户，大三室,香樟公馆 -橄榄城商圈,3室2厅 | 127.3平米 | 南 | 简装 | 低楼层(共7层)  | 暂无数据,0人关注 / 1个月以前发布,76.3,"5,994元/平"
西区博物馆Dui面郑开碧桂园稀有一楼带活院,郑开碧桂园 -万达商圈,3室2厅 | 113平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,26人关注 / 6个月以前发布,112,"9,912元/平"
郑开碧桂园 3室2厅 东南,郑开碧桂园 -万达商圈,3室2厅 | 111.99平米 | 东南 | 精装 | 中楼层(共18层)  | 暂无数据,6人关注 / 7个月以前发布,88,"7,858元/平"
集英街  小高层大三房 有本税够 看房方便,伟业香堤湾 -集英街商圈,3室2厅 | 121平米 | 南 | 简装 | 中楼层(共18层)  | 板塔结合,0人关注 / 1个月以前发布,86,"7,108元/平"
此房户型好，南北通透，小区位置较好,水岸家园 -集英街商圈,5室3厅 | 197.6平米 | 北 南 | 毛坯 | 高楼层(共25层)  | 板塔结合,1人关注 / 一年前发布,115,"5,820元/平"
此房楼层低，南向通阳台，新装修，户型方正，动静分区,嘉泰新城 -鼎立商圈,3室2厅 | 94.57平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,25人关注 / 6个月以前发布,59,"6,239元/平"
一大街，西湖边，精装两房，好楼层，业主诚心出售。,郑开森林半岛南苑 -万达商圈,2室1厅 | 89.16平米 | 南 北 | 精装 | 高楼层(共29层)  | 板楼,0人关注 / 16天以前发布,63,"7,066元/平"
六大街中意湖旁新交付小区，开发商精装修，随时看房,雅居乐金茂悦棠 -CBD商圈,3室2厅 | 88.8平米 | 南 | 精装 | 高楼层(共26层)  | 暂无数据,0人关注 / 7天以前发布,66,"7,433元/平"
永威梅隆公馆电梯房，永威品质物业。~,永威梅隆公馆 -万达商圈,3室1厅 | 178.42平米 | 南 北 | 精装 | 高楼层(共17层)  | 板塔结合,1人关注 / 7天以前发布,190,"10,650元/平"
经典三室，步梯房得房率高，配套成熟,星云山庄 -龙亭商圈,3室2厅 | 95.5平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,1人关注 / 18天以前发布,32,"3,351元/平"
帝湖世家125平，三室两厅，93万。,帝湖世家 -集英街商圈,3室1厅 | 125.75平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 板塔结合,4人关注 / 3个月以前发布,87,"6,919元/平"
精装婚房，几乎没有入住，户型方正，,湖畔嘉苑 -CBD商圈,3室2厅 | 118.53平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,0人关注 / 24天以前发布,83,"7,003元/平"
二大街，紫檀，四房高楼层，配套齐全。,晖达新世界紫檀 -西湖商圈,4室2厅 | 127平米 | 东南 | 毛坯 | 高楼层(共18层)  | 板塔结合,1人关注 / 19天以前发布,80,"6,300元/平"
新芒果蓝湾国际   三室两厅 业主诚心出售,新芒果蓝湾国际 -集英街商圈,3室2厅 | 132平米 | 南 北 | 精装 | 中楼层(共14层)  | 板塔结合,0人关注 / 18天以前发布,100,"7,576元/平"
集英街，9层电梯洋房，三室精装，单价六千+,龙成锦绣花园 -开元商圈,3室2厅 | 124.8平米 | 南 北 | 其他 | 中楼层(共9层)  | 板塔结合,0人关注 / 17天以前发布,83.8,"6,715元/平"
此房二楼，产权清晰，无抵押，随时过户，采光通风好,世纪华庭 -铁塔商圈,2室2厅 | 97.35平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,0人关注 / 16天以前发布,55,"5,650元/平"
集英街 锦绣花园 大三室 有本无大税 随时看房,锦绣花园 -开元商圈,3室2厅 | 121.6平米 | 南 北 | 精装 | 高楼层(共18层)  | 板塔结合,0人关注 / 1个月以前发布,79,"6,497元/平"
此房位于二大街，紧挨东京大道，出行便利，高铁站近,晖达新世界紫檀 -西湖商圈,3室2厅 | 103平米 | 东南 | 毛坯 | 中楼层(共18层)  | 暂无数据,0人关注 / 14天以前发布,70,"6,797元/平"
圣桦城三期 3室2厅 南,圣桦城三期 -青年城商圈,3室2厅 | 113平米 | 南 | 其他 | 中楼层(共27层)  | 板楼,1人关注 / 15天以前发布,78,"6,903元/平"
嘉泰花苑低楼层，县小后面，价位可谈！！！,嘉泰花苑 -市政府商圈,3室2厅 | 133平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,2人关注 / 7个月以前发布,59.9,"4,504元/平"
鼎立国际B区 有房本 南北户型 拎包入住,鼎立国际城B区 -鼎立商圈,3室2厅 | 127平米 | 南 北 | 简装 | 中楼层(共18层)  | 塔楼,8人关注 / 4个月以前发布,98,"7,717元/平"
房子中间楼层，南北通透，户型方正，1T两户,鼎立国际城E区 -鼎立商圈,4室2厅 | 146.92平米 | 南 北 | 精装 | 中楼层(共18层)  | 板塔结合,22人关注 / 4个月以前发布,104.9,"7,140元/平"
一楼 带储藏室，适合养老， 通透格局，小区配套齐全,建业大宏城市花园 -鼎立商圈,3室2厅 | 90.29平米 | 南 | 简装 | 低楼层(共7层)  | 板塔结合,11人关注 / 6个月以前发布,62,"6,867元/平"
四大街大梁府好位置前面没有遮挡三室两厅,亚新大梁府 -北站商圈,3室2厅 | 105平米 | 南 | 其他 | 低楼层(共26层)  | 板楼,0人关注 / 14天以前发布,93,"8,858元/平"
冠融花园 步梯二楼 南北通透 带10平储藏室 有钥匙,冠融花园 -火车站商圈,2室2厅 | 89.99平米 | 南 北 | 精装 | 低楼层(共6层)  | 板塔结合,0人关注 / 1个月以前发布,43.2,"4,801元/平"
财政厅南平等街小区三楼两室简单装修生活方便,平等街小区 -海洋馆商圈,2室2厅 | 74.5平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,2人关注 / 9个月以前发布,34,"4,564元/平"
西湖边品质三开间朝南精装婚房未入住,西湖印象 -橄榄城商圈,3室1厅 | 134平米 | 南 | 精装 | 中楼层(共27层)  | 板塔结合,0人关注 / 16天以前发布,135,"10,075元/平"
香榭里，精装修顶楼复式，上下两层拎包入住。,龙成香榭里花园 -开元商圈,3室2厅 | 112.77平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,0人关注 / 2个月以前发布,65,"5,764元/平"
适合老年人居住的1楼而且是全新装修哦！,翠园西街 -市政府商圈,3室1厅 | 52.4平米 | 南 | 其他 | 低楼层(共5层)  | 板楼,1人关注 / 14天以前发布,34.8,"6,642元/平"
西湖旁大四室，户型方正 南北通透，楼层好价格低,郑开橄榄城二期 -西湖商圈,4室2厅 | 142.28平米 | 南 北 | 毛坯 | 低楼层(共24层)  | 板楼,23人关注 / 一年前发布,118,"8,294元/平"
此房二楼，采光通风好，产权清晰，全款房，随时过户,蔚蓝加州 -顺河商圈,2室2厅 | 95.14平米 | 南 | 精装 | 中楼层(共5层)  | 板塔结合,18人关注 / 一年前发布,56,"5,887元/平"
"荣勋花园三室两厅两卫，户型方正,双水双气",荣勋花园 -开元商圈,3室2厅 | 155.87平米 | 南 北 | 精装 | 中楼层(共7层)  | 板塔结合,10人关注 / 3个月以前发布,81.6,"5,236元/平"
精装修业主婚房，一天未入住，随时可以看房、,郑开橄榄城三期 -西湖商圈,2室2厅 | 83平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 6天以前发布,72.8,"8,772元/平"
绿地品质，楼层适中，价格和边上项目比有优势,郑开绿地城 -祥符区,3室2厅 | 125.76平米 | 南 | 毛坯 | 低楼层(共17层)  | 板塔结合,0人关注 / 1个月以前发布,94.3,"7,499元/平"
电梯小高层不临街不临路 6层好楼层  两梯两户宽厅户型,晖达新世界紫檀 -西湖商圈,4室2厅 | 139平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 暂无数据,1人关注 / 3个月以前发布,100,"7,195元/平"
晖达新世界三期，洋房三室120平手续齐全 无抵押,晖达新世界三期 -西湖商圈,3室2厅 | 120.07平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 暂无数据,12人关注 / 7个月以前发布,103,"8,579元/平"
精装三房，低楼层，适合养老，南北通风,青年城 -青年城商圈,3室2厅 | 115.92平米 | 南 | 精装 | 低楼层(共22层)  | 板塔结合,0人关注 / 1个月以前发布,72,"6,212元/平"
圣桦城二期电梯洋房有本满二人车分流阳台已封全天采光,圣桦城 -青年城商圈,3室2厅 | 131.18平米 | 南 北 | 其他 | 高楼层(共7层)  | 板塔结合,0人关注 / 2个月以前发布,99.8,"7,608元/平"
总高11层小洋房 7层好楼层  鲜风生活楼上 随时过户,晖达新世界紫檀 -西湖商圈,3室2厅 | 125平米 | 南 北 | 其他 | 中楼层(共11层)  | 暂无数据,2人关注 / 1个月以前发布,98.5,"7,880元/平"
房子在小区门口，位置好，前边洋房区,郑开橄榄城二期 -西湖商圈,3室2厅 | 106.01平米 | 南 | 简装 | 低楼层(共24层)  | 塔楼,12人关注 / 4个月以前发布,87,"8,207元/平"
精装小三房，精装修保养的很好，户型好，楼层佳,帝湖世家 -集英街商圈,3室2厅 | 86.96平米 | 南 | 其他 | 高楼层(共31层)  | 板塔结合,1人关注 / 2个月以前发布,71,"8,165元/平"
全明户型，好楼层，景观效果、视野好.地理位置优越,东方今典 -西湖商圈,3室2厅 | 121.3平米 | 南 | 简装 | 高楼层(共33层)  | 塔楼,1人关注 / 2个月以前发布,95,"7,832元/平"
低楼层两室温，南北通透，产权清晰，适合人群各类,惠济桥东街 -火车站商圈,2室1厅 | 69平米 | 南 北 | 简装 | 低楼层(共3层)  | 板塔结合,20人关注 / 9个月以前发布,12.5,"1,812元/平"
塞纳左岸精装修 大四室 三开间朝阳 采光好,塞纳左岸 -市政府商圈,4室2厅 | 143.49平米 | 南 北 | 精装 | 中楼层(共29层)  | 板塔结合,9人关注 / 4个月以前发布,113,"7,876元/平"
包公湖旁的空中三层别墅  湖景房  精装修,包公湖南路41号院 -相国寺商圈,3室3厅 | 184.9平米 | 南 | 其他 | 中楼层(共4层)  | 暂无数据,0人关注 / 1个月以前发布,99,"5,355元/平"
新上房源，碧水蓝城三期业主精装修，满二年无大税,碧水蓝城三期 -集英街商圈,2室2厅 | 94平米 | 南 | 精装 | 高楼层(共27层)  | 板楼,0人关注 / 11天以前发布,75,"7,979元/平"
精装修品质两房 整体冷暖空调 全屋地暖,郑开橄榄城三期 -西湖商圈,2室2厅 | 82.71平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,73.5,"8,887元/平"
临湖洋房好楼层，满五唯一，拎包入住，有储藏室,龙成锦绣花园 -开元商圈,2室2厅 | 102.38平米 | 南 | 精装 | 中楼层(共11层)  | 板塔结合,2人关注 / 8个月以前发布,72,"7,033元/平"
业主诚意出售~房间干净整洁~保养的很好~价格可议~！,鼎立国际城A区 -鼎立商圈,2室2厅 | 89.12平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,13人关注 / 一年前发布,59,"6,621元/平"
四大街  伟宏天境  永威物业  人车分流  环境优美,伟宏天境 -北站商圈,2室2厅 | 87.83平米 | 南 北 | 毛坯 | 低楼层(共11层)  | 板楼,4人关注 / 4个月以前发布,59,"6,718元/平"
大相国寺旁 2居室中等楼层，适合养老，可做婚房！,胭脂河A区 -相国寺商圈,2室1厅 | 65.3平米 | 西北 | 简装 | 中楼层(共6层)  | 板楼,21人关注 / 5个月以前发布,17.6,"2,696元/平"
有公园，教育资源丰富，老人与年轻人养老带娃散步上班,金明小区 -市政府商圈,2室2厅 | 63.44平米 | 南 北 | 简装 | 高楼层(共7层)  | 板塔结合,2人关注 / 6个月以前发布,31.1,"4,903元/平"
翠园中街  两室一厅一厨一卫 住宅型,翠园中街 -市政府商圈,2室1厅 | 52.05平米 | 南 | 简装 | 高楼层(共5层)  | 板楼,36人关注 / 7个月以前发布,13.9,"2,671元/平"
前排洋房无遮挡，南北通风视野好，精装拎包入住。,首座时代 -鼎立商圈,2室2厅 | 92.99平米 | 南 北 | 精装 | 中楼层(共23层)  | 板楼,0人关注 / 2个月以前发布,72,"7,743元/平"
翠庭尚都边户2房 跳楼价出售 没有人不心动的边户2房,翠庭尚都 -龙亭商圈,2室2厅 | 93.17平米 | 南 | 毛坯 | 中楼层(共11层)  | 暂无数据,6人关注 / 7个月以前发布,64.9,"6,966元/平"
湖边西湖印象 两室两厅 视野开阔 看房方便,西湖印象 -橄榄城商圈,2室2厅 | 89.65平米 | 南 | 毛坯 | 中楼层(共27层)  | 塔楼,12人关注 / 7个月以前发布,70,"7,809元/平"
鼎立C区 好楼层  拎包入住 看房方便,鼎立国际城C区 -鼎立商圈,2室2厅 | 88.82平米 | 南 | 简装 | 中楼层(共18层)  | 板塔结合,5人关注 / 6个月以前发布,69.5,"7,825元/平"
首座时代两室现房，中间楼层随时装修,首座时代 -鼎立商圈,2室2厅 | 92.99平米 | 南 | 毛坯 | 中楼层(共23层)  | 板楼,1人关注 / 31天以前发布,64,"6,883元/平"
嘉泰新城 两居室 满五唯一  看房有钥匙,嘉泰新城 -鼎立商圈,2室2厅 | 94.71平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,3人关注 / 一年前发布,46,"4,857元/平"
精装大三房.基本未住过.全新家具家电.全款房,鼎立国际城F区 -鼎立商圈,3室2厅 | 131.89平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 8天以前发布,105,"7,962元/平"
森林半岛北苑小高层一梯两户出门就是万达,郑开森林半岛 -万达商圈,3室2厅 | 134.44平米 | 南 北 | 简装 | 高楼层(共11层)  | 板楼,5人关注 / 3个月以前发布,92,"6,844元/平"
业主急卖精装修两室，南向带大阳台有本,鼎立国际城F区 -鼎立商圈,2室2厅 | 90平米 | 南 北 | 精装 | 高楼层(共18层)  | 板塔结合,44人关注 / 11个月以前发布,62,"6,889元/平"
融元景园 3室 5楼 南北通透 可贷款 2014年建成,融元景园 -火车站商圈,3室1厅 | 92平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,47,"5,109元/平"
开元广场旁，浪漫之都三楼带院，房本在手，随时过户。,浪漫之都 -市政府商圈,3室3厅 | 145.22平米 | 北 南 | 精装 | 中楼层(共6层)  | 板塔结合,19人关注 / 3个月以前发布,88,"6,060元/平"
锦绣嘉园 小区内好位置 低楼层 精装大三室,锦绣嘉园 -顺河商圈,3室2厅 | 128.27平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,9人关注 / 一年前发布,75,"5,848元/平"
房子户型好，简单装修，小区出行方便,弘福花园 -市政府商圈,3室2厅 | 102.57平米 | 南 北 | 简装 | 中楼层(共6层)  | 板塔结合,4人关注 / 3个月以前发布,56,"5,460元/平"
小高层观景房 全天采光 精装大三居 公摊小,华盟天河湾 -龙亭商圈,3室2厅 | 129.97平米 | 南 | 简装 | 中楼层(共11层)  | 板楼,10人关注 / 7个月以前发布,98,"7,541元/平"
房屋楼层好，采光充足无遮挡，小区配套丰富，交通便利,枫华·金明府 -青年城商圈,4室2厅 | 130.19平米 | 南 | 毛坯 | 高楼层(共31层)  | 板塔结合,0人关注 / 7个月以前发布,86,"6,606元/平"
业主精心装修，布局合理。本月必买好房,浪漫之都 -市政府商圈,4室3厅 | 164.17平米 | 南 北 | 精装 | 低楼层(共6层)  | 板塔结合,10人关注 / 一年前发布,98,"5,970元/平"
枫华·金明府 4室2厅 南,枫华·金明府 -青年城商圈,4室2厅 | 133.9平米 | 南 | 毛坯 | 低楼层(共30层)  | 板塔结合,0人关注 / 2个月以前发布,85,"6,349元/平"
房子户型好 两室朝阳 一室朝北的设计无浪费面积,雅居乐金茂悦棠 -CBD商圈,3室2厅 | 122平米 | 南 北 | 毛坯 | 高楼层(共23层)  | 暂无数据,0人关注 / 24天以前发布,85,"6,968元/平"
碧水蓝城三期 3室2厅 南,碧水蓝城三期 -集英街商圈,3室2厅 | 157.8平米 | 南 | 其他 | 高楼层(共27层)  | 板楼,1人关注 / 16天以前发布,115,"7,288元/平"
郑开橄榄城香颂 3室1厅 南,郑开橄榄城香颂 -西湖商圈,3室1厅 | 126.15平米 | 南 | 精装 | 高楼层(共23层)  | 暂无数据,0人关注 / 27天以前发布,115,"9,117元/平"
业主急售，户型方正，环境优美。。。,奇瑞金域华府 -万达商圈,2室1厅 | 89.3平米 | 南 | 精装 | 中楼层(共11层)  | 板塔结合,1人关注 / 27天以前发布,50,"5,600元/平"
西环路赵口分局家属院两室一厅婚房精装修,赵口家属院 -鼎立商圈,2室1厅 | 63.26平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,2人关注 / 3个月以前发布,35,"5,533元/平"
房子有本无大税户型好，宽敞明亮,安联优悦城 -四季城商圈,2室2厅 | 92.08平米 | 南 北 | 简装 | 中楼层(共16层)  | 板楼,9人关注 / 6个月以前发布,50,"5,431元/平"
嘉泰北苑步梯房，简单装修拎包入住,嘉泰北苑 -青年城商圈,2室2厅 | 90.76平米 | 北 | 其他 | 高楼层(共6层)  | 板楼,11人关注 / 3个月以前发布,25.5,"2,810元/平"
新装修，中间楼层，环境优美，交通便利，,星云山庄 -龙亭商圈,2室1厅 | 63.59平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,2人关注 / 2个月以前发布,29,"4,561元/平"
