标题,开发商,房子信息,发布信息,售价/万,单价
中天云庭96平边套带车位可以满两年环境优美视野开阔,中天·云庭小区 -金东区,3室2厅 | 96平米 | 南 | 其他 | 中楼层(共16层)  | 板楼,0人关注 / 1个月以前发布,143,"14,896元/平"
颐景园110平带车位，小区风格新中式别具一格,金义颐景园 -金义都市新区,3室2厅 | 110平米 | 南 | 其他 | 高楼层(共20层)  | 板楼,0人关注 / 5个月以前发布,130,"11,819元/平"
房子精装带空调地暖   拎包入住,红星金义天铂 -金义都市新区,3室2厅 | 89平米 | 南 | 其他 | 中楼层(共27层)  | 暂无数据,4人关注 / 6个月以前发布,133.8,"15,034元/平"
视野宽阔，采光充足，配套设施齐全，交通便利,中天·澜园小区 -金东区,3室2厅 | 96平米 | 南 | 其他 | 中楼层(共14层)  | 暂无数据,0人关注 / 2个月以前发布,135,"14,063元/平"
万固精品3房，毛坯。带车位，房东诚心出售。,万固·东方樾 -金东区,3室2厅 | 88平米 | 南 | 其他 | 低楼层(共17层)  | 暂无数据,0人关注 / 6个月以前发布,115,"13,069元/平"
红星金义天铂 3室2厅 南 北,红星金义天铂 -金义都市新区,3室2厅 | 89平米 | 南 北 | 其他 | 低楼层(共27层)  | 暂无数据,0人关注 / 1个月以前发布,97,"10,899元/平"
房屋通风性佳，采光充足，户型方正,金地天御 -江南,3室2厅 | 89.66平米 | 南 | 其他 | 高楼层(共18层)  | 板楼,1人关注 / 7个月以前发布,183,"20,411元/平"
（金义宝龙广场）102万，品质小洋房,都市豪园 -金义都市新区,4室2厅 | 117平米 | 南 北 | 其他 | 高楼层(共6层)  | 板塔结合,0人关注 / 1个月以前发布,135,"11,539元/平"
龙庭一品 3室2厅 南,龙庭一品 -金义都市新区,3室2厅 | 129平米 | 南 | 精装 | 低楼层(共29层)  | 板楼,0人关注 / 4天以前发布,155,"12,016元/平"
此房交通方便. 楼层好 采光好 配套齐全 全明户型,金山大厦 -金东区,1室1厅 | 53平米 | 南 | 其他 | 高楼层(共12层)  | 塔楼,1人关注 / 2个月以前发布,36,"6,793元/平"
瑞唐国际 1室1厅 南 北,瑞唐国际 -婺城新区,1室1厅 | 59平米 | 南 北 | 其他 | 低楼层(共18层)  | 暂无数据,5人关注 / 一年前发布,45,"7,628元/平"
深蓝艺墅  精装修  带车位  房东诚心出售,深蓝艺墅 -婺城新区,3室2厅 | 118.9平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,4人关注 / 一年前发布,158,"13,289元/平"
天山龙城精装修大三房近宝龙诚心出售价格可谈,天山龙城B区 -金义都市新区,3室2厅 | 134平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,138,"10,299元/平"
有房才有家，给自己一个温暖的家,金义颐景园 -金义都市新区,3室2厅 | 126平米 | 南 | 毛坯 | 高楼层(共26层)  | 板楼,1人关注 / 一年前发布,143,"11,350元/平"
电梯洋房，一梯二户，自住装修带车位。,紫金玉澜 -婺城新区,3室2厅 | 85平米 | 南 北 | 精装 | 中楼层(共5层)  | 板塔结合,1人关注 / 8个月以前发布,150,"17,648元/平"
丽泽花园 3室2厅 南,丽泽花园 -江北,3室2厅 | 122平米 | 南 | 其他 | 高楼层(共6层)  | 板塔结合,2人关注 / 5个月以前发布,226,"18,525元/平"
紫悦花园 品质小区 小区环境好,紫悦花园 -湖海塘,3室2厅 | 109平米 | 南 | 其他 | 中楼层(共18层)  | 暂无数据,0人关注 / 10个月以前发布,189.8,"17,413元/平"
常青新城 3室2厅 南 北,常青新城 -婺城新区,3室2厅 | 116.5平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,135,"11,588元/平"
生活便捷的好房子，自带生活商场。出门就能购物。,万固·东方樾 -金东区,3室2厅 | 87平米 | 南 | 其他 | 低楼层(共17层)  | 板塔结合,1人关注 / 5个月以前发布,102,"11,725元/平"
万固88平三房两卫，户型方正，采光充足,万固·东方樾 -金东区,3室2厅 | 88平米 | 南 北 | 其他 | 低楼层(共17层)  | 暂无数据,3人关注 / 6个月以前发布,105,"11,932元/平"
西关山嘴头社区红星天悦！精装带车位！中高楼层！,红星天悦 -江南,3室2厅 | 89平米 | 南 北 | 其他 | 中楼层(共11层)  | 板楼,0人关注 / 8个月以前发布,228,"25,618元/平"
西关未来社区 一环内好楼盘 环境好物业好,茂新熙悦府 -江南,3室2厅 | 80.5平米 | 南 | 其他 | 中楼层(共11层)  | 暂无数据,3人关注 / 9个月以前发布,160,"19,876元/平"
铂凯花园 3室2厅 南,铂凯花园 -金东区,3室2厅 | 86平米 | 南 | 其他 | 中楼层(共10层)  | 暂无数据,0人关注 / 2天以前发布,125,"14,535元/平"
此房.自住精装电梯房.楼层好采光充足视野宽阔,金发兴园 -婺城新区,1室1厅 | 42.52平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,8人关注 / 6个月以前发布,45,"10,584元/平"
中天·云庭小区 3室2厅 南 北,中天·云庭小区 -金东区,3室2厅 | 88平米 | 南 北 | 其他 | 中楼层(共16层)  | 板楼,0人关注 / 6天以前发布,108,"12,273元/平"
百变毛坯房，带车位，小区中间位置，视野好,紫金玉澜 -婺城新区,3室2厅 | 127平米 | 南 | 其他 | 高楼层(共25层)  | 板楼,0人关注 / 7天以前发布,230,"18,111元/平"
中天·云庭小区 4室2厅 南 北,中天·云庭小区 -金东区,4室2厅 | 126平米 | 南 北 | 其他 | 低楼层(共16层)  | 板楼,0人关注 / 7天以前发布,160,"12,699元/平"
：小区体量大，居住适宜，视野采光充足，生活交通便,金义颐景园 -金义都市新区,3室2厅 | 97平米 | 南 | 毛坯 | 中楼层(共26层)  | 板楼,0人关注 / 4天以前发布,102,"10,516元/平"
峰境花园 3室2厅 南 北,峰境花园 -江北,3室2厅 | 89平米 | 南 北 | 其他 | 高楼层(共11层)  | 平房,0人关注 / 5天以前发布,145,"16,293元/平"
紫金玉澜 3室2厅 南,紫金玉澜 -婺城新区,3室2厅 | 87平米 | 南 | 其他 | 低楼层(共24层)  | 板楼,0人关注 / 2天以前发布,148,"17,012元/平"
满五唯一，楼层好，采光好，精装修,东方前城南区 -江北,3室2厅 | 104平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 7天以前发布,152,"14,616元/平"
铂瑞花园 3室2厅 南,铂瑞花园 -婺城新区,3室2厅 | 89平米 | 南 | 其他 | 高楼层(共24层)  | 暂无数据,0人关注 / 7天以前发布,119,"13,371元/平"
意谐缤虹星城 3室2厅 南,意谐缤虹星城 -婺城新区,3室2厅 | 89平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,1人关注 / 29天以前发布,112,"12,585元/平"
上铁绿城物业。此顶楼带车位，业主诚心出售,上铁江枫雅苑 -江北,3室2厅 | 107平米 | 南 北 | 其他 | 高楼层(共10层)  | 暂无数据,0人关注 / 31天以前发布,139,"12,991元/平"
丽泽花园 4室2厅 南,丽泽花园 -江北,4室2厅 | 126平米 | 南 | 其他 | 高楼层(共6层)  | 板塔结合,0人关注 / 9天以前发布,228,"18,096元/平"
中宁蔚蓝海岸 3室2厅 南,中宁蔚蓝海岸 -金东区,3室2厅 | 90.14平米 | 南 | 其他 | 中楼层(共29层)  | 板塔结合,0人关注 / 15天以前发布,172,"19,082元/平"
铂瑞花园 3室2厅 南,铂瑞花园 -婺城新区,3室2厅 | 89平米 | 南 | 其他 | 低楼层(共20层)  | 暂无数据,0人关注 / 9天以前发布,129.8,"14,585元/平"
中天·云庭小区 4室2厅 南,中天·云庭小区 -金东区,4室2厅 | 126平米 | 南 | 毛坯 | 中楼层(共16层)  | 板楼,0人关注 / 1个月以前发布,160,"12,699元/平"
金厦银湖城 3室2厅 南 北,金厦银湖城 -婺城新区,3室2厅 | 89平米 | 南 北 | 其他 | 低楼层(共18层)  | 暂无数据,0人关注 / 7天以前发布,130,"14,607元/平"
文景苑 2室2厅 南 北,文景苑 -婺城新区,2室2厅 | 89平米 | 南 北 | 毛坯 | 低楼层(共11层)  | 板塔结合,0人关注 / 23天以前发布,112.8,"12,675元/平"
红星一期铂悦花园，高楼层，户型方正，无遮挡，采光好,铂悦花园 -金义都市新区,3室1厅 | 89平米 | 南 北 | 其他 | 高楼层(共26层)  | 板楼,0人关注 / 23天以前发布,101,"11,349元/平"
紫悦花园 3室2厅 南,紫悦花园 -湖海塘,3室2厅 | 113平米 | 南 | 其他 | 中楼层(共8层)  | 暂无数据,0人关注 / 25天以前发布,176,"15,576元/平"
东塘湖畔使用面积110平 三房两卫 好楼层  满二,东塘湖畔花园 -金义都市新区,3室2厅 | 89平米 | 南 | 毛坯 | 高楼层(共16层)  | 板楼,0人关注 / 1个月以前发布,101,"11,349元/平"
已经这个价了，你还在考虑啥呢 买了吧,中昂·天玥府 -金东区,3室2厅 | 88.9平米 | 西南 | 其他 | 高楼层(共20层)  | 暂无数据,1人关注 / 1个月以前发布,80,"8,999元/平"
保集半岛 3室2厅 南,保集半岛 -江南,3室2厅 | 111.73平米 | 南 | 其他 | 低楼层(共7层)  | 板楼,0人关注 / 9天以前发布,196,"17,543元/平"
金厦银湖城 3室2厅 南,金厦银湖城 -婺城新区,3室2厅 | 87平米 | 南 | 毛坯 | 低楼层(共18层)  | 暂无数据,0人关注 / 10天以前发布,119.6,"13,748元/平"
东边套 开阔 采光好 配套设施齐全  交通便利 格局好,保集半岛 -江南,3室2厅 | 132平米 | 南 | 精装 | 高楼层(共11层)  | 板楼,0人关注 / 1个月以前发布,215,"16,288元/平"
金义颐景园 3室2厅 南 北,金义颐景园 -金义都市新区,3室2厅 | 97平米 | 南 北 | 毛坯 | 高楼层(共26层)  | 板楼,0人关注 / 1个月以前发布,106,"10,928元/平"
万家风华，带双车位，高楼层，视野开阔，南北通透急卖,滨江金地·万家风华 -稠城,3室2厅 | 99平米 | 南 北 | 毛坯 | 高楼层(共25层)  | 暂无数据,0人关注 / 4天以前发布,315,"31,819元/平"
缤虹星城 精装修 楼层好 户型好 带车位,意谐缤虹星城 -婺城新区,3室1厅 | 89平米 | 南 | 精装 | 中楼层(共32层)  | 板塔结合,1人关注 / 3个月以前发布,109,"12,248元/平"
尚格康桥漫步三房一卫，精装修，带车位，可以预约看房,尚格康桥漫步 -婺城新区,3室1厅 | 89平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 3个月以前发布,130,"14,607元/平"
金厦银湖城 3室1厅 南 北,金厦银湖城 -婺城新区,3室1厅 | 89平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 暂无数据,0人关注 / 5个月以前发布,135,"15,169元/平"
星河湾风渡 3室2厅 南 北,星河湾风渡 -婺城新区,3室2厅 | 89平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,113.6,"12,765元/平"
万固西江月，毛坯三房两卫，带车位 中间楼栋,万固西江月 -婺城新区,3室2厅 | 89平米 | 南 | 毛坯 | 低楼层(共19层)  | 暂无数据,1人关注 / 2个月以前发布,95,"10,675元/平"
都市丽景园 复式的房子 装修美丽~,都市郦景园 -婺城新区,4室2厅 | 112.39平米 | 南 | 其他 | 低楼层(共17层)  | 板塔结合,3人关注 / 4个月以前发布,150,"13,347元/平"
颐景园小区绿化苏州园林风 环境舒适 交通便利,金义颐景园 -金义都市新区,3室2厅 | 97平米 | 南 | 毛坯 | 中楼层(共26层)  | 板楼,0人关注 / 4个月以前发布,113,"11,650元/平"
房东诚心出售，看房方便，楼层好，视野佳。,海塘壹品 -湖海塘,3室2厅 | 105平米 | 南 | 其他 | 高楼层(共18层)  | 塔楼,0人关注 / 1个月以前发布,210,"20,000元/平"
此房精装修 ，未入住 小区新，环境佳，户型设计合理，,意谐缤虹星城 -婺城新区,4室2厅 | 143平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,2人关注 / 6个月以前发布,150,"10,490元/平"
房子纯毛坯 楼层好 金义二 小区人车分流，湖景房,红星金义天铂 -金义都市新区,3室2厅 | 96平米 | 南 | 其他 | 中楼层(共27层)  | 暂无数据,0人关注 / 2个月以前发布,117,"12,188元/平"
华电新村两房一卫，户型方正，采光好视野好，随时看房,华电新村 -婺城新区,2室2厅 | 52.89平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,2人关注 / 3个月以前发布,36,"6,807元/平"
朝南三个大阳台，户型方正很通透！,铂瑞花园 -婺城新区,3室2厅 | 89.94平米 | 南 北 | 其他 | 中楼层(共16层)  | 暂无数据,2人关注 / 4个月以前发布,123.7,"13,754元/平"
湖海塘次新小区，低总价2房，百变毛坯随心装修。,紫悦花园 -湖海塘,2室1厅 | 77平米 | 南 | 其他 | 低楼层(共18层)  | 暂无数据,0人关注 / 2个月以前发布,148.8,"19,325元/平"
业主诚心出售，湖海塘次新小区低总价大两房,紫悦花园 -湖海塘,2室2厅 | 76平米 | 南 | 其他 | 低楼层(共18层)  | 暂无数据,0人关注 / 1个月以前发布,138,"18,158元/平"
湖海塘以东  百变毛坯  交通便利,紫悦花园 -湖海塘,2室2厅 | 77平米 | 南 | 其他 | 低楼层(共18层)  | 暂无数据,0人关注 / 3个月以前发布,142.8,"18,546元/平"
南苑 楼层好 功能合理、环境优美、舒适宜人的未来社区,保亿·天润华府 -秋滨工业区,3室2厅 | 89平米 | 南 | 精装 | 低楼层(共12层)  | 暂无数据,0人关注 / 29天以前发布,215,"24,158元/平"
万固西江月 3室2厅 南,万固西江月 -婺城新区,3室2厅 | 89平米 | 南 | 其他 | 中楼层(共19层)  | 暂无数据,0人关注 / 16天以前发布,114.8,"12,899元/平"
东方前城 2室2厅 南,东方前城 -江北,2室2厅 | 91平米 | 南 | 其他 | 中楼层(共12层)  | 板塔结合,0人关注 / 12天以前发布,138.8,"15,253元/平"
红星二期边套带车位可以满二过户 省税,红星金义天铂 -金义都市新区,3室2厅 | 105平米 | 西 | 毛坯 | 低楼层(共18层)  | 暂无数据,0人关注 / 2个月以前发布,135,"12,858元/平"
万固西江月精装三房，包税带车位，业主诚心售,万固西江月 -婺城新区,3室2厅 | 89平米 | 南 北 | 精装 | 中楼层(共13层)  | 暂无数据,0人关注 / 24天以前发布,103,"11,574元/平"
融创晓郡花园一期 3室2厅 南,融创晓郡花园一期 -金东区,3室2厅 | 90.4平米 | 南 | 其他 | 中楼层(共26层)  | 板塔结合,0人关注 / 24天以前发布,172,"19,027元/平"
中层 简装 电梯房 看中价格可谈,东方广场(永康市) -永康市,2室2厅 | 82平米 | 南 北 | 简装 | 中楼层(共13层)  | 暂无数据,1人关注 / 8天以前发布,145,"17,683元/平"
都市豪园小区环境好适合一家人住两层,都市豪园 -金义都市新区,3室2厅 | 104.59平米 | 南 | 毛坯 | 高楼层(共16层)  | 板塔结合,0人关注 / 4个月以前发布,110,"10,518元/平"
紫金玉澜三房两卫小洋房，带车位，户型方正，随时看房,紫金玉澜 -婺城新区,3室2厅 | 121平米 | 南 | 毛坯 | 低楼层(共7层)  | 板塔结合,0人关注 / 2个月以前发布,182,"15,042元/平"
红星一期铂悦93平毛坏三房110万边套满二,铂悦花园 -金义都市新区,3室2厅 | 93平米 | 南 北 | 其他 | 高楼层(共18层)  | 暂无数据,0人关注 / 10天以前发布,110,"11,828元/平"
精装修小洋房  三房二厅一厨一卫 南北朝向,铂凯花园 -金东区,3室2厅 | 78平米 | 南 | 其他 | 低楼层(共11层)  | 暂无数据,1人关注 / 11天以前发布,100,"12,821元/平"
视野开阔、采光好，配套设施齐全，交通便利,银泰广场 -江南,1室1厅 | 31.52平米 | 南 | 其他 | 中楼层(共12层)  | 暂无数据,0人关注 / 5个月以前发布,68.9,"21,860元/平"
金厦银湖城 3室2厅 南,金厦银湖城 -婺城新区,3室2厅 | 89平米 | 南 | 精装 | 中楼层(共11层)  | 暂无数据,0人关注 / 1个月以前发布,133,"14,944元/平"
江南名家 3室2厅 南 北,江南名家 -江南,3室2厅 | 117.6平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,166,"14,116元/平"
此房已经满二年精装修拎包入住省去装修的时间烦恼。,紫金玉澜 -婺城新区,3室1厅 | 87.73平米 | 南 | 其他 | 高楼层(共30层)  | 塔楼,1人关注 / 5个月以前发布,145,"16,528元/平"
春江花园三期三房，带车位，业主诚售,春江花园三期 -江北,3室2厅 | 114.2平米 | 南 | 其他 | 中楼层(共11层)  | 暂无数据,2人关注 / 6个月以前发布,238.8,"20,911元/平"
业主诚心出售 可随时签约 湖海塘板块,紫丁花园 -湖海塘,3室2厅 | 109平米 | 南 北 | 其他 | 低楼层(共16层)  | 暂无数据,1人关注 / 3个月以前发布,169,"15,505元/平"
红星金义天铂 3室2厅 南 北,红星金义天铂 -金义都市新区,3室2厅 | 89平米 | 南 北 | 其他 | 低楼层(共27层)  | 暂无数据,0人关注 / 1个月以前发布,97,"10,899元/平"
红星天铂中高楼层户型好视野好采光好价格低环境优美,红星金义天铂 -金义都市新区,3室2厅 | 96平米 | 南 | 其他 | 低楼层(共27层)  | 暂无数据,0人关注 / 2个月以前发布,113.5,"11,823元/平"
一个车位，一个电瓶车车位，出让金已交,水岸家园 -义乌市,2室1厅 | 84平米 | 南 西北 | 简装 | 中楼层(共17层)  | 暂无数据,3人关注 / 8个月以前发布,85,"10,120元/平"
迎宾花园 2室2厅 东,迎宾花园 -江北,2室2厅 | 79平米 | 东 | 其他 | 低楼层(共16层)  | 板塔结合,1人关注 / 3个月以前发布,100,"12,659元/平"
新城云昱 3室2厅 南,新城云昱 -金义都市新区,3室2厅 | 98.71平米 | 南 | 其他 | 低楼层(共26层)  | 暂无数据,0人关注 / 1天以前发布,120,"12,157元/平"
小区体量大，居住适宜，视野采光充足，生活交通便,金义颐景园 -金义都市新区,3室2厅 | 126平米 | 南 北 | 毛坯 | 高楼层(共26层)  | 板楼,0人关注 / 2天以前发布,145,"11,508元/平"
浙师大生活区 3室2厅 南 北,浙师大生活区 -江北,3室2厅 | 104平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,1人关注 / 4个月以前发布,139.8,"13,443元/平"
四牌楼菜场 2室1厅 南,四牌楼菜场 -江北,2室1厅 | 37平米 | 南 | 其他 | 中楼层(共7层)  | 板塔结合,0人关注 / 2天以前发布,65,"17,568元/平"
西城映象 3室2厅 南 北,西城映象 -婺城新区,3室2厅 | 128平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 2天以前发布,119,"9,297元/平"
都市欧情电梯房大4房，南北通透，高楼层，视野好，。,都市欧情 -江北,4室2厅 | 128平米 | 南 北 | 其他 | 高楼层(共18层)  | 板楼,0人关注 / 3天以前发布,210,"16,407元/平"
丁香公馆 3室2厅 南,丁香公馆 -江南,3室2厅 | 89平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 3天以前发布,188,"21,124元/平"
东方前城南区，西边套，大3房，房东精装修，拎包入住,东方前城南区 -江北,3室2厅 | 100平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,1人关注 / 6天以前发布,136,"13,600元/平"
江滨小区 3室2厅 南 北,江滨小区 -江南,3室2厅 | 81平米 | 南 北 | 其他 | 低楼层(共7层)  | 板楼,0人关注 / 5天以前发布,208,"25,680元/平"
中天·云庭小区 4室2厅 南 北,中天·云庭小区 -金东区,4室2厅 | 126平米 | 南 北 | 其他 | 低楼层(共16层)  | 板楼,0人关注 / 1天以前发布,165,"13,096元/平"
（红星铂凯）三期，三室一厅，南北通透，11层洋房,铂凯花园 -金东区,3室2厅 | 79平米 | 南 北 | 其他 | 中楼层(共11层)  | 暂无数据,0人关注 / 1天以前发布,125,"15,823元/平"
铂凯花园 3室2厅 南 北,铂凯花园 -金东区,3室2厅 | 80平米 | 南 北 | 其他 | 中楼层(共11层)  | 暂无数据,0人关注 / 1天以前发布,112,"14,000元/平"
铂凯花园 3室2厅 南,铂凯花园 -金东区,3室2厅 | 86平米 | 南 | 其他 | 中楼层(共11层)  | 暂无数据,0人关注 / 刚刚发布,120,"13,954元/平"
新城云昱 3室2厅 南 北,新城云昱 -金义都市新区,3室2厅 | 98平米 | 南 北 | 其他 | 高楼层(共18层)  | 暂无数据,0人关注 / 1天以前发布,116,"11,837元/平"
四海铭门 4室2厅 南,四海铭门 -金义都市新区,4室2厅 | 129平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,0人关注 / 5天以前发布,170,"13,179元/平"
此房马上满二 高楼层 采光好 百变毛胚装修,朝阳大众华府 -东阳市,3室2厅 | 116平米 | 南 | 毛坯 | 高楼层(共33层)  | 暂无数据,0人关注 / 1天以前发布,172,"14,828元/平"
此房已经满二 高楼层 采光好 百变毛装修,朝阳大众华府 -东阳市,3室2厅 | 136平米 | 东南 | 毛坯 | 中楼层(共33层)  | 暂无数据,0人关注 / 1天以前发布,205,"15,074元/平"
新城云昱 3室2厅 南,新城云昱 -金义都市新区,3室2厅 | 98平米 | 南 | 其他 | 高楼层(共18层)  | 暂无数据,0人关注 / 1天以前发布,120,"12,245元/平"
东方前城 1室1厅 南,东方前城 -江北,1室1厅 | 51平米 | 南 | 其他 | 高楼层(共14层)  | 板塔结合,0人关注 / 1天以前发布,68.8,"13,491元/平"
万固西江月 3室2厅 南,万固西江月 -婺城新区,3室2厅 | 130平米 | 南 | 其他 | 低楼层(共19层)  | 暂无数据,0人关注 / 2天以前发布,145,"11,154元/平"
龙庭一品精装修带车位 边套 拎包入住,龙庭一品 -金义都市新区,4室2厅 | 122平米 | 西 | 精装 | 中楼层(共30层)  | 板楼,0人关注 / 10天以前发布,185,"15,164元/平"
金发兴园 1室1厅 南,金发兴园 -婺城新区,1室1厅 | 42.5平米 | 南 | 其他 | 高楼层(共7层)  | 板楼,0人关注 / 15天以前发布,34,"8,000元/平"
紫丁花园 3室2厅 南,紫丁花园 -湖海塘,3室2厅 | 107.44平米 | 南 | 其他 | 中楼层(共16层)  | 暂无数据,0人关注 / 21天以前发布,183.8,"17,108元/平"
迎宾花园 1室1厅 东南,迎宾花园 -江北,1室1厅 | 41平米 | 东南 | 其他 | 高楼层(共16层)  | 板塔结合,0人关注 / 25天以前发布,59.8,"14,586元/平"
华鼎公馆 三房二卫 自住精装 满二省税 带车位,华鼎公馆 -婺城新区,3室2厅 | 130平米 | 南 | 精装 | 低楼层(共21层)  | 板楼,0人关注 / 2个月以前发布,158,"12,154元/平"
40万一环边上低总价给自己按个家,金发兴园 -婺城新区,1室1厅 | 44平米 | 北 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 4个月以前发布,41,"9,319元/平"
万固东方樾，107平，大三房带车位，仅售136万,万固·东方樾 -金东区,3室2厅 | 107平米 | 南 | 其他 | 低楼层(共17层)  | 板楼,1人关注 / 4个月以前发布,126,"11,776元/平"
湖海塘板块   新小区电梯房   交通便利,紫悦花园 -湖海塘,3室2厅 | 105平米 | 南 | 其他 | 中楼层(共8层)  | 暂无数据,1人关注 / 5个月以前发布,226,"21,524元/平"
苏桂院 3室2厅 南,苏桂院 -湖海塘,3室2厅 | 145平米 | 南 | 其他 | 低楼层(共18层)  | 板塔结合,0人关注 / 1个月以前发布,283,"19,518元/平"
新小区，精美新装修，西边套，带车位,九龙玉府 -江北,3室2厅 | 89平米 | 南 北 | 其他 | 中楼层(共17层)  | 暂无数据,0人关注 / 5个月以前发布,178.8,"20,090元/平"
此房户型方正，，采光好，楼层好适宜居住日常生活便利,苏桂院 -湖海塘,2室2厅 | 105平米 | 南 | 其他 | 高楼层(共14层)  | 塔楼,0人关注 / 5个月以前发布,185,"17,620元/平"
湖海塘板块，生活便利，次新小区,紫丁花园 -湖海塘,3室2厅 | 107平米 | 南 北 | 其他 | 中楼层(共15层)  | 暂无数据,0人关注 / 1个月以前发布,226.8,"21,197元/平"
红星  湖景房 带车位 三房两厅两卫  诚心出售价格可谈,红星金义天铂 -金义都市新区,3室2厅 | 96平米 | 南 | 毛坯 | 高楼层(共23层)  | 暂无数据,0人关注 / 2个月以前发布,128,"13,334元/平"
天山龙城A区 4室2厅 南,天山龙城A区 -金义都市新区,4室2厅 | 198平米 | 南 | 简装 | 低楼层(共30层)  | 板楼,0人关注 / 20天以前发布,189,"9,546元/平"
金满湖旁，欧式风格独栋别墅，花园200平，东边套,龙庭一品 -金义都市新区,5室2厅 | 328.49平米 | 南 | 其他 | 3层  | 板楼 | 独栋别墅 ,0人关注 / 11个月以前发布,1080,"32,878元/平"
楼层好，房间宽阔，采光充足，配套设施齐全，交通,兰湖小区 -金东区,5室3厅 | 246.25平米 | 东南 | 其他 | 低楼层(共3层)  | 暂无数据,2人关注 / 11个月以前发布,259,"10,518元/平"
福田CBD区域，是去年刚刚交付的新房，滨江高档物业,滨江壹品 -福田,4室2厅 | 139.71平米 | 南 | 毛坯 | 低楼层(共38层)  | 板塔结合,5人关注 / 11个月以前发布,477.88,"34,206元/平"
上城华府 5室2厅 南,上城华府 -江北,5室2厅 | 232.5平米 | 南 | 其他 | 中楼层(共5层)  | 板塔结合,0人关注 / 5天以前发布,386,"16,603元/平"
新科花园A区 5室3厅 南 东,新科花园A区 -稠江,5室3厅 | 300平米 | 南 东 | 其他 | 高楼层(共17层)  | 暂无数据,0人关注 / 1天以前发布,580,"19,334元/平"
有车位， 装修清爽， 看房方便，楼层好， 小区环境好,凤凰一品 -江北,3室2厅 | 105平米 | 南 北 | 其他 | 高楼层(共11层)  | 板塔结合,0人关注 / 2个月以前发布,209,"19,905元/平"
紫金玉澜 精装修1+-1带花园，带车位，满5年,紫金玉澜 -婺城新区,5室2厅 | 247.8平米 | 南 北 | 其他 | 低楼层(共7层)  | 板塔结合,7人关注 / 一年前发布,356,"14,367元/平"
