标题,开发商,房子信息,发布信息,售价/万,单价
阳光六层，精装两居，户型方正，价格美丽,税苑小区 -金桥商圈,2室2厅 | 114.1平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,13人关注 / 10个月以前发布,85,"7,450元/平"
好房推荐！！！国标一楼带大院，竟然还是精装修？,世纪华城 -金川开发区,2室2厅 | 88.04平米 | 南 北 | 精装 | 低楼层(共6层)  | 板塔结合,5人关注 / 5个月以前发布,45,"5,112元/平"
乌兰夫公园地铁口 建校家属楼 三居室精装带家具近附院,建苑 -工人北村商圈,3室1厅 | 76.27平米 | 南 北 | 精装 | 低楼层(共3层)  | 板楼,13人关注 / 10个月以前发布,68.5,"8,982元/平"
新城区  东河  环境好  电梯  双阳卧  飞机户型,舜和国际花园 -成吉思汗东商圈,3室2厅 | 153.66平米 | 南 | 简装 | 中楼层(共26层)  | 板塔结合,6人关注 / 一年前发布,148,"9,632元/平"
二环以内 精装2楼 房本满五唯一 全明户型有钥匙随时看,绿波小区 -石羊桥商圈,2室1厅 | 67.56平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,17人关注 / 一年前发布,62,"9,178元/平"
巨海城国标两居  单价低   小草公园,巨华·巨海城3区 -巨海城商圈,2室2厅 | 90.33平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,15人关注 / 4个月以前发布,108,"11,957元/平"
16年次新小区 精装小两居 看房方便,盛世名筑康莊南区 -成吉思汗西商圈,2室1厅 | 66.9平米 | 东 北 | 精装 | 低楼层(共13层)  | 板楼,40人关注 / 一年前发布,76,"11,361元/平"
东万达 房本在手满两年 可以按揭 价格可以商量,政协小区(赛罕区) -万达商圈,4室2厅 | 181.81平米 | 南 北 | 毛坯 | 低楼层(共11层)  | 板塔结合,43人关注 / 一年前发布,191,"10,506元/平"
赛罕区 南二环 中海锦绣城 满五唯一 精装修 看房方便,中海锦绣城 -中海商圈,2室1厅 | 87.02平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,4人关注 / 9个月以前发布,104,"11,952元/平"
政苑小区 3室1厅 南,政苑小区 -新华商圈,3室1厅 | 74.14平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 11天以前发布,119,"16,051元/平"
青山水恋三居室二卫上下家具家电齐全业主诚出售,青山水恋 -成吉思汗东商圈,3室2厅 | 82.67平米 | 南 北 | 精装 | 低楼层(共21层)  | 塔楼,1人关注 / 3个月以前发布,115,"13,911元/平"
百灵小区 小区院大停车方便  精装修,星火巷百灵小区 -北垣街商圈,3室2厅 | 143.38平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 4个月以前发布,158,"11,020元/平"
青橙部落 2室2厅 南,青橙部落 -成吉思汗西商圈,2室2厅 | 96.7平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,6人关注 / 4个月以前发布,109,"11,272元/平"
业主急售 精装修 拎包入住 看房方便,半山半水 -金川开发区,2室1厅 | 74.13平米 | 南 北 | 精装 | 中楼层(共6层)  | 塔楼,0人关注 / 3个月以前发布,49.8,"6,718元/平"
联排别墅 带电梯 精装修 拎包入住,御苑 -绿地金隅商圈,5室2厅 | 345平米 | 南 北 | 精装 | 低楼层(共3层)  | 暂无数据,14人关注 / 6个月以前发布,680,"19,711元/平"
此房为通透格局此房为通透格局，采光好，,金隅丽港城 -中海商圈,2室2厅 | 88.62平米 | 南 | 精装 | 中楼层(共25层)  | 板塔结合,0人关注 / 2个月以前发布,112,"12,639元/平"
澳华·城市花园 3室2厅 南 北,澳华·城市花园 -新华联商圈,3室2厅 | 168平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,2人关注 / 2个月以前发布,145,"8,631元/平"
和谐园 2室1厅 南,和谐园 -成吉思汗东商圈,2室1厅 | 98平米 | 南 | 毛坯 | 低楼层(共26层)  | 板楼,0人关注 / 8天以前发布,108,"11,021元/平"
一楼有50平米小院房源！房东诚心出售,濱河灣 -金桥商圈,3室2厅 | 123.05平米 | 南 北 | 简装 | 低楼层(共5层)  | 板塔结合,2人关注 / 4个月以前发布,130,"10,565元/平"
安装公司住宅 2室1厅 南 北,安装公司住宅 -石东路商圈,2室1厅 | 57.68平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 3天以前发布,57,"9,883元/平"
出售 玉泉区 塔东片内  孝心一楼 随时看房,旭达花园 -嘉茂商圈,3室2厅 | 189平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,5人关注 / 一年前发布,155,"8,202元/平"
精装修大平层  配套齐全  拎包入住,伊泰华府世家 -东岸商圈,6室2厅 | 427平米 | 南 北 | 精装 | 低楼层(共13层)  | 暂无数据,43人关注 / 一年前发布,1000,"23,420元/平"
兴泰北区精装修 中间楼层 采光好,兴泰·東河湾北区 -市政府商圈,4室2厅 | 293平米 | 南 北 | 精装 | 中楼层(共8层)  | 暂无数据,11人关注 / 7个月以前发布,550,"18,772元/平"
锦绣福源别墅 比东岸御园的户型好 稀却资源 随时看房,锦绣福源C区 -新华联商圈,8室3厅 | 679.97平米 | 南 北 | 毛坯 | 中楼层(共4层)  | 暂无数据,24人关注 / 一年前发布,698,"10,266元/平"
如意阁国税小区 4室2厅 北 南,如意阁国税小区 -金桥商圈,4室2厅 | 275.49平米 | 北 南 | 精装 | 高楼层(共11层)  | 暂无数据,1人关注 / 一年前发布,310,"11,253元/平"
阳光诺卡湖景 3层 精装 四居,阳光诺卡一期 -成吉思汗西商圈,4室2厅 | 180.19平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,4人关注 / 3个月以前发布,224.7,"12,471元/平"
新城区 毓秀国际公馆 实用160+,毓秀国际公馆 -成吉思汗西商圈,3室1厅 | 92.5平米 | 北 | 精装 | 高楼层(共17层)  | 板楼,2人关注 / 一年前发布,84,"9,082元/平"
配套设施齐全，房本满五年 楼层好，采光充足，,丽苑阳光城 -海东路商圈,3室2厅 | 173平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,18人关注 / 一年前发布,155,"8,960元/平"
此房满五唯一 精装修3楼 拎包即可入住 随时可以看房,芳汀花园 -光华街商圈,3室2厅 | 132.99平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,6人关注 / 一年前发布,133,"10,001元/平"
东万达商圈 出门地铁口 过渡两居 可以按揭,民生小区(北垣东街) -团结商圈,2室1厅 | 64.21平米 | 南 北 | 简装 | 中楼层(共4层)  | 板楼,7人关注 / 5个月以前发布,56,"8,722元/平"
小区封闭式 安全性好 交通便利 采光好  家里家具好,新潮小区 -光明路商圈,2室1厅 | 70.82平米 | 东 西 | 简装 | 中楼层(共6层)  | 板楼,2人关注 / 6个月以前发布,48,"6,778元/平"
新华联雅园小区好价格好楼层好装修！,新华联·雅园 -新华联商圈,2室1厅 | 93.5平米 | 南 | 精装 | 高楼层(共30层)  | 板楼,3人关注 / 3个月以前发布,112,"11,979元/平"
房东诚心出售，小区环境好，位置佳，配套齐全,恒大雅苑 -西万达商圈,1室1厅 | 52.96平米 | 北 | 精装 | 中楼层(共18层)  | 板楼,10人关注 / 一年前发布,32,"6,043元/平"
二环内地铁口国标地暖房价格特惠...,时代华城 -回民政府商圈,2室1厅 | 87.6平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,10人关注 / 一年前发布,66,"7,535元/平"
金宇新天地 2室1厅 北,金宇新天地 -石东路商圈,2室1厅 | 65平米 | 北 | 精装 | 高楼层(共21层)  | 塔楼,0人关注 / 7天以前发布,84.5,"13,000元/平"
中海紫御东郡 2室1厅 南,中海紫御东郡 -中海商圈,2室1厅 | 88.15平米 | 南 | 精装 | 高楼层(共25层)  | 板楼,3人关注 / 9个月以前发布,115,"13,046元/平"
嘉茂 地铁 精装  满五 锡林xx  电力,电力家园 -锡小商圈,3室2厅 | 164.8平米 | 西 南 | 精装 | 中楼层(共18层)  | 塔楼,8人关注 / 7个月以前发布,190,"11,530元/平"
一楼30平小院，带20平米凉房，小二楼别墅，精装修。,呼市直属机关干休所 -东落凤商圈,3室2厅 | 107.43平米 | 南 北 | 精装 | 低楼层(共2层)  | 暂无数据,1人关注 / 4个月以前发布,270,"25,133元/平"
阳光电梯房 精装拎包入住 看房方便 价格可议,中海·外滩 -中海商圈,3室2厅 | 132.73平米 | 南 北 | 简装 | 低楼层(共29层)  | 板楼,27人关注 / 一年前发布,155,"11,678元/平"
爱民街恒大城南区位置视野开阔交通便利,恒大城南区 -成吉思汗东商圈,4室2厅 | 207.38平米 | 南 北 | 精装 | 中楼层(共30层)  | 板楼,9人关注 / 一年前发布,260,"12,538元/平"
房子满五唯一胜利路，房子产权清晰，视野开阔,机电学院小区 -胜利路商圈,2室1厅 | 65.05平米 | 南 北 | 精装 | 中楼层(共4层)  | 塔楼,2人关注 / 一年前发布,56,"8,609元/平"
昭君新村 2室2厅 南 北,昭君新村 -光华街商圈,2室2厅 | 90平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,19人关注 / 一年前发布,90,"10,000元/平"
泽信标杆户型 餐厨分体 中间楼层,泽信·加州公馆 -成吉思汗东商圈,3室2厅 | 127.68平米 | 南 北 | 简装 | 中楼层(共26层)  | 板塔结合,22人关注 / 一年前发布,131,"10,261元/平"
格局方正 大三居 生活便利 配套齐全,千家和众新家园 -金桥商圈,2室2厅 | 91.06平米 | 南 | 简装 | 低楼层(共32层)  | 板塔结合,6人关注 / 一年前发布,90,"9,884元/平"
新城区海东路 标准一室一厅 简单装修,市建小区(新城区) -海东路商圈,1室1厅 | 35.12平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,7人关注 / 一年前发布,29,"8,258元/平"
七彩城商圈 钰景花园 电梯楼层 可按揭 刀把子户型,钰景花园 -五塔寺商圈,2室1厅 | 96.15平米 | 南 北 | 简装 | 高楼层(共8层)  | 板塔结合,8人关注 / 4个月以前发布,86,"8,945元/平"
赛罕区永泰城汇景 两年外房本 价格好商量 精装空户,永泰城汇景 -金桥商圈,3室2厅 | 103.74平米 | 南 | 简装 | 低楼层(共27层)  | 板楼,0人关注 / 4个月以前发布,122,"11,761元/平"
年前人首 选  LOFT 使用面积145 现代轻奢风格可按揭,金川新天地 -金川开发区,3室2厅 | 72.1平米 | 南 | 精装 | 低楼层(共16层)  | 塔楼,8人关注 / 7个月以前发布,49.8,"6,908元/平"
南北通透  3居室 邻近地铁   拎包入住,电信局宿舍 -长乐宫商圈,3室1厅 | 72平米 | 南 北 | 精装 | 高楼层(共4层)  | 板楼,9人关注 / 一年前发布,83,"11,528元/平"
此房楼层好，采光充足、前后无遮挡，小区环境好,金桥佳园 -金桥商圈,3室2厅 | 156.41平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板楼,7人关注 / 一年前发布,158,"10,102元/平"
：电梯房.楼层好.房本在手可贷款.,桃花岛 -南湖商圈,3室2厅 | 118平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,105,"8,899元/平"
日报社一北 北京四中以西 金河湾 配套全,金河湾住宅小区 -金桥商圈,3室2厅 | 126.91平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,33人关注 / 一年前发布,110,"8,668元/平"
万豪长隆湾 精装修 国标户型 小区环境好 交通便利,万豪长隆湾 -金桥商圈,2室2厅 | 104.3平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,2人关注 / 3个月以前发布,110,"10,547元/平"
中海商圈  颐和家园 毛坯三居室  看房方便,颐和家园(滨河北路) -中海商圈,3室2厅 | 122平米 | 南 北 | 毛坯 | 高楼层(共24层)  | 板楼,0人关注 / 2个月以前发布,105,"8,607元/平"
带家具家电 落地窗 急售 可贷款 秋实,紫御澜庭 -成吉思汗西商圈,3室2厅 | 125平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,12人关注 / 一年前发布,100,"8,000元/平"
绿城润园 3室2厅 南 北,绿城润园 -桥华商圈,3室2厅 | 175平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板楼,3人关注 / 3个月以前发布,255,"14,572元/平"
巨华·巨海城七区 3室2厅 南 北,巨华·巨海城七区 -巨海城商圈,3室2厅 | 153平米 | 南 北 | 毛坯 | 低楼层(共11层)  | 塔楼,4人关注 / 3个月以前发布,185,"12,092元/平"
新城区 地铁口  孝心楼层 精装修 领包入住,赛马场铁路小区 -成吉思汗西商圈,2室1厅 | 59.51平米 | 南 | 精装 | 低楼层(共6层)  | 板塔结合,4人关注 / 3个月以前发布,56,"9,411元/平"
精装修，小区环境好，物业服务到位 ..,恒大雅苑 -西万达商圈,4室2厅 | 166.77平米 | 南 北 | 精装 | 中楼层(共32层)  | 板楼,1人关注 / 一年前发布,135,"8,095元/平"
玺园凤凰楼层采光视野好，公摊小带露台,玺园 -成吉思汗东商圈,3室2厅 | 137.27平米 | 南 | 毛坯 | 高楼层(共14层)  | 板楼,2人关注 / 3个月以前发布,140,"10,199元/平"
地铁口，天野佳园精装修没住过，高楼层，拎包入住,天野佳园 -金桥商圈,3室2厅 | 132.76平米 | 南 北 | 精装 | 高楼层(共18层)  | 板塔结合,0人关注 / 2个月以前发布,133,"10,019元/平"
交通便利，房屋结构好，环境优雅，适合居住,青橙紫苑A区 -成吉思汗西商圈,3室2厅 | 140平米 | 南 | 毛坯 | 低楼层(共26层)  | 板塔结合,72人关注 / 一年前发布,83,"5,929元/平"
中海商圈，房子简单装修，三居室，采光好,北方家园南区 -中海商圈,3室2厅 | 136平米 | 南 北 | 毛坯 | 高楼层(共12层)  | 板楼,25人关注 / 一年前发布,148,"10,883元/平"
泽信青城 7室2厅 南,泽信青城 -东岸商圈,7室2厅 | 197.5平米 | 南 | 精装 | 低楼层(共6层)  | 板塔结合,0人关注 / 2个月以前发布,450,"22,785元/平"
MOCO国际 2室1厅 东南,MOCO国际 -金川开发区,2室1厅 | 55.32平米 | 东南 | 精装 | 中楼层(共20层)  | 板楼,6人关注 / 9个月以前发布,35,"6,327元/平"
海拉尔高架 城发绿园 国标三居 双卫 非顶楼 绿化好,城发绿园 -海西路商圈,3室2厅 | 126.6平米 | 南 北 | 毛坯 | 高楼层(共29层)  | 暂无数据,9人关注 / 11个月以前发布,106,"8,373元/平"
骊山湖公园 院内 工大电力城  实用面积大于房本面积,金川电力小区 -金川开发区,3室2厅 | 102.27平米 | 南 北 | 精装 | 中楼层(共5层)  | 板塔结合,7人关注 / 一年前发布,51,"4,987元/平"
检察家园 电梯房 带车位 出行方便 中高楼层 采光好,检察家园 -万达商圈,4室2厅 | 165平米 | 南 北 | 精装 | 中楼层(共5层)  | 暂无数据,0人关注 / 2个月以前发布,240,"14,546元/平"
万达一期 采光好楼层 房本满二 地铁口 南门外 可按揭,万达广场一期 -万达商圈,2室1厅 | 89.39平米 | 南 | 精装 | 中楼层(共34层)  | 板楼,0人关注 / 1个月以前发布,108,"12,082元/平"
二环内，地铁口，喜悦商圈，出行方便。,巨华亲亲尚城 -成吉思汗西商圈,2室1厅 | 86.93平米 | 南 北 | 精装 | 中楼层(共21层)  | 塔楼,11人关注 / 6个月以前发布,92,"10,584元/平"
金汉御园 2室1厅 北 东,金汉御园 -桥华商圈,2室1厅 | 71.48平米 | 北 东 | 简装 | 低楼层(共20层)  | 板楼,8人关注 / 3个月以前发布,65,"9,094元/平"
天野佳园地铁口小区楼间距宽采光好三居室飞机户型,天野佳园 -金桥商圈,3室1厅 | 118.86平米 | 南 北 | 精装 | 低楼层(共18层)  | 板塔结合,0人关注 / 2个月以前发布,122,"10,265元/平"
有房本，可贷款，空户，业主诚心出售 有钥匙随时可看,金花园 -金桥商圈,4室2厅 | 166.4平米 | 南 北 | 精装 | 低楼层(共16层)  | 板塔结合,6人关注 / 10个月以前发布,140,"8,414元/平"
绿城润园 阳光楼层 不临街 毛坯3居2卫,绿城润园 -桥华商圈,3室2厅 | 133平米 | 南 北 | 毛坯 | 高楼层(共17层)  | 暂无数据,3人关注 / 3个月以前发布,186,"13,985元/平"
赛罕 金桥 金河湾 双阳卧 采光好 硬件装修,金河湾住宅小区 -金桥商圈,3室2厅 | 127平米 | 南 北 | 简装 | 中楼层(共6层)  | 板塔结合,15人关注 / 8个月以前发布,114,"8,977元/平"
新城区 喜悦商圈 公交总站 通和小区 视野好 可贷款,通和小区 -成吉思汗西商圈,3室2厅 | 152.44平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板楼,10人关注 / 4个月以前发布,88,"5,773元/平"
慧谷蓝庭 4居室 房本满二 精装修空置 家具全留,慧谷蓝庭 -西万达商圈,4室1厅 | 134.65平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,7人关注 / 一年前发布,133,"9,878元/平"
房子国标户型，2015年左右装修的婚房，中间楼层,美华隆小区 -万锦商圈,2室1厅 | 105.51平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼,0人关注 / 2个月以前发布,98,"9,289元/平"
万达 市政府 如意河 火车东站 水岸小镇河景房,水岸小镇 -市政府商圈,4室2厅 | 206.12平米 | 南 北 | 毛坯 | 高楼层(共27层)  | 板塔结合,0人关注 / 3个月以前发布,200,"9,704元/平"
新城区 海藤名苑 精装国标南北通透 家具家电都带,海藤名苑景苑 -海东路商圈,2室1厅 | 98.62平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,4人关注 / 6个月以前发布,93,"9,431元/平"
天野佳园 电梯房 房本在手 小区环境好 楼距宽,天野佳园 -金桥商圈,3室2厅 | 158平米 | 南 北 | 毛坯 | 低楼层(共9层)  | 板楼,0人关注 / 2个月以前发布,130,"8,228元/平"
6500一平米4楼969，小区有公园，有网球场,八一住宅小区 -八一商圈,3室2厅 | 115平米 | 南 | 简装 | 高楼层(共4层)  | 板塔结合,124人关注 / 10个月以前发布,63,"5,479元/平"
赛罕区 金桥开发区 金地江山风华 地铁口 南万达,金地江山风华 -金桥商圈,3室2厅 | 120平米 | 南 北 | 毛坯 | 低楼层(共34层)  | 板塔结合,25人关注 / 11个月以前发布,130,"10,834元/平"
此房通透户型，低楼层，格局好，国标户型,万豪长隆湾 -金桥商圈,3室2厅 | 144.05平米 | 南 北 | 毛坯 | 低楼层(共11层)  | 板塔结合,2人关注 / 3个月以前发布,130,"9,025元/平"
中间楼层   户型好  精装修   小区有院儿好停车,设计院家属院（新华大街） -东落凤商圈,2室2厅 | 86平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,11人关注 / 一年前发布,99,"11,512元/平"
采光无遮挡 ，楼层好，视野好 ，户型周正,盛世华庭 -南湖商圈,3室2厅 | 149.91平米 | 南 北 | 毛坯 | 中楼层(共26层)  | 板楼,1人关注 / 4个月以前发布,109.5,"7,305元/平"
赛罕区 金桥精装修 拎包入户 婚房 刚需 房本在手,南景苑小区 -金桥商圈,3室2厅 | 110.78平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,10人关注 / 一年前发布,83,"7,493元/平"
中海铂悦府 全新小区 环境好楼间距宽双阳户型 可贷款,中海铂悦府 -中海商圈,3室2厅 | 135.93平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 板塔结合,8人关注 / 4个月以前发布,178,"13,095元/平"
房本在手，飞机户型，好楼层。业主诚心,怡景萃华林 -南茶坊商圈,3室1厅 | 139平米 | 南 | 毛坯 | 中楼层(共24层)  | 板塔结合,0人关注 / 2个月以前发布,117,"8,418元/平"
阳光楼层，环境优美，刀把户型，,俪城 -石羊桥商圈,2室1厅 | 73.69平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,3人关注 / 5个月以前发布,67,"9,093元/平"
怡景萃华林 3室2厅 南 北,怡景萃华林 -南茶坊商圈,3室2厅 | 116平米 | 南 北 | 精装 | 高楼层(共18层)  | 板塔结合,4人关注 / 4个月以前发布,105,"9,052元/平"
万锦70年产权产权 有天然气 可按揭 随时看,万锦·香韵 -万锦商圈,3室1厅 | 71.7平米 | 南 北 | 精装 | 高楼层(共15层)  | 板楼,0人关注 / 2个月以前发布,109,"15,203元/平"
巨海城商圈 楼层好 电梯房 采光好单价合适,凯德艺苑 -巨海城商圈,3室2厅 | 145平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼,17人关注 / 一年前发布,139,"9,587元/平"
香山依云 环境好 物业好.....,香山依云 -金川开发区,3室1厅 | 110平米 | 南 | 毛坯 | 6层  | 板楼,2人关注 / 2个月以前发布,41,"3,728元/平"
赛罕区 花园新小区  毛坯三居可按揭！,万锦领秀2期 -金桥商圈,3室2厅 | 143平米 | 南 | 毛坯 | 高楼层(共32层)  | 板楼,3人关注 / 4个月以前发布,197,"13,777元/平"
青山片内 电梯中层 国标毛坯 ....,兰亭商贸建材城家属院 -青山商圈,3室1厅 | 130.57平米 | 南 北 | 毛坯 | 高楼层(共12层)  | 板楼,1人关注 / 2个月以前发布,142.98,"10,951元/平"
万锦商圈 国标户型 中间楼层 落地窗 支持各种贷款,世源佳境 -万锦商圈,2室2厅 | 99平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 7个月以前发布,86,"8,687元/平"
新城区 喜悦商圈 公交总站 通和小区 视野好 可贷款,通和小区 -成吉思汗西商圈,3室1厅 | 112.64平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,3人关注 / 3个月以前发布,85,"7,547元/平"
绿城润园 4室3厅 南 北,绿城润园 -桥华商圈,4室3厅 | 212平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板楼,1人关注 / 2个月以前发布,248,"11,699元/平"
国标三居  可贷款 随时看房 单价7000,海西名筑 -海西路商圈,3室2厅 | 122平米 | 南 | 毛坯 | 低楼层(共18层)  | 板楼,10人关注 / 8个月以前发布,85,"6,968元/平"
房东急售南二环南北通透三居毛坯房，自由装修，,盛世华庭 -南湖商圈,3室2厅 | 132.7平米 | 南 北 | 毛坯 | 低楼层(共24层)  | 板楼,0人关注 / 2个月以前发布,88,"6,632元/平"
急售 巨海城联排别墅 实用面积大 优质社区 看房方便,巨华·巨海城6区 -巨海城商圈,6室3厅 | 298平米 | 南 北 | 简装 | 中楼层(共4层)  | 板楼,27人关注 / 6个月以前发布,300,"10,068元/平"
巨海城五区 精装三居 有车库 看房随时,巨华巨海城五区 -巨海城商圈,3室2厅 | 159.25平米 | 南 北 | 精装 | 低楼层(共16层)  | 板楼,13人关注 / 3个月以前发布,195,"12,245元/平"
万豪美墅城 精装  买一层+一层 有钥匙 带车位只卖三天,万豪美墅城 -中海商圈,3室1厅 | 87.8平米 | 南 北 | 精装 | 低楼层(共21层)  | 板楼,21人关注 / 一年前发布,108,"12,301元/平"
精装修电梯好楼层   南北通透  房本在手,金润华府B区 -金川开发区,3室1厅 | 100平米 | 南 北 | 精装 | 中楼层(共27层)  | 板楼,0人关注 / 1个月以前发布,63.8,"6,380元/平"
赛罕，通透四居室 ，纯毛坯， 绿化高楼间距宽，采光好,金叶佳苑 -金桥商圈,4室2厅 | 185平米 | 南 | 毛坯 | 5层  | 板楼,14人关注 / 7个月以前发布,128,"6,919元/平"
石东路 电梯房 一梯一户 有房本 可按揭 精装修,富丽城A区 -石东路商圈,3室2厅 | 130平米 | 南 北 | 精装 | 高楼层(共15层)  | 塔楼,1人关注 / 4个月以前发布,100,"7,693元/平"
大学路片 家乐福 精装修电梯房有露台  配套设施齐全,雅阁星城 -大学路商圈,2室1厅 | 116平米 | 南 北 | 精装 | 低楼层(共24层)  | 板楼,2人关注 / 4个月以前发布,107,"9,225元/平"
目前唯一顶跃毛坯房，看房随时，,东方维也纳 -东岸商圈,4室2厅 | 199.03平米 | 南 北 | 毛坯 | 高楼层(共11层)  | 板楼,81人关注 / 一年前发布,144,"7,236元/平"
精装三室 可贷款 万达旁 太平街 采光好,新西蓝小区 -西万达商圈,3室2厅 | 112.54平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,14人关注 / 一年前发布,82,"7,287元/平"
华府二期 房本在手 前无遮挡 采光好 河景房,恒大华府 -中海商圈,4室2厅 | 162平米 | 北 南 | 精装 | 高楼层(共32层)  | 板楼,18人关注 / 10个月以前发布,198.8,"12,272元/平"
急售金山 步梯3 居室 精装修可按揭,易构城 -金川开发区,3室1厅 | 117.42平米 | 南 北 | 精装 | 低楼层(共6层)  | 板塔结合,0人关注 / 2个月以前发布,63,"5,366元/平"
