标题,开发商,房子信息,发布信息,售价/万,单价
宝能太古城 4室2厅 南,宝能太古城 -章江新区,4室2厅 | 135平米 | 南 | 其他 | 高楼层(共30层)  | 板楼,0人关注 / 3天以前发布,249,"18,445元/平"
户型好，视野宽阔，采光充足，配套设施齐全，交通便利,新市民公寓 -站北区,2室1厅 | 67.23平米 | 南 北 | 精装 | 中楼层(共7层)  | 板塔结合,0人关注 / 23天以前发布,41,"6,099元/平"
视野开阔临江小区四房两厅三卫九成新精装房,锦江公馆 -黄金开发区,4室2厅 | 138.97平米 | 南 | 精装 | 26层  | 板楼,1人关注 / 12天以前发布,168,"12,089元/平"
中航·公元二期 4室2厅 南,中航·公元二期 -章江新区,4室2厅 | 141.75平米 | 南 | 其他 | 高楼层(共32层)  | 板楼,0人关注 / 9天以前发布,245,"17,284元/平"
南门口 滨江二 正规3房2厅 不临街 采光好,文明大道77号 -老城区,3室2厅 | 78.1平米 | 东南 南 | 其他 | 低楼层(共8层)  | 板楼,0人关注 / 7天以前发布,59,"7,555元/平"
招商雍景湾精装大四房209万，单价低于同户型，值,招商·雍景湾 -黄金开发区,4室2厅 | 149平米 | 南 | 精装 | 低楼层(共17层)  | 板楼,0人关注 / 24天以前发布,209,"14,027元/平"
房东诚意出售目前不在赣州看房物业借钥匙，,恒大·悦龙台 -黄金开发区,3室2厅 | 98平米 | 东南 | 精装 | 低楼层(共31层)  | 板楼,0人关注 / 8天以前发布,100,"10,205元/平"
业主急售，重新装修，诚心出售此房，看房方便,文清路5号 -老城区,3室2厅 | 75.37平米 | 南 | 精装 | 中楼层(共7层)  | 板塔结合,1人关注 / 15天以前发布,56,"7,431元/平"
S级笋盘！电梯洋房凤凰层，南北一线江景房！,中海·滨江壹号 -黄金开发区,4室2厅 | 143.68平米 | 南 西南 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 18天以前发布,283,"19,697元/平"
九里峰山花园电梯洋房急售急售急售！价格合适就出！,九里峰山峰山院子 -蓉江新区,4室2厅 | 166.64平米 | 南 北 | 毛坯 | 中楼层(共8层)  | 塔楼,0人关注 / 9天以前发布,146,"8,762元/平"
鹏欣·水游城 3室2厅 南,鹏欣·水游城 -章江新区,3室2厅 | 105.4平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,1人关注 / 24天以前发布,155,"14,706元/平"
满二精装修，实际装修比照片好看,万盛 -章江新区,3室2厅 | 135.96平米 | 南 北 | 精装 | 中楼层(共5层)  | 板塔结合,11人关注 / 7个月以前发布,145.6,"10,710元/平"
华尔街铭府 三室二厅 可随时看房,华尔街·铭府 -老城区,3室2厅 | 142.2平米 | 南 | 毛坯 | 高楼层(共18层)  | 塔楼,0人关注 / 一年前发布,138,"9,705元/平"
章江新区旁  全新装修未入住  正规4房,金湾广场 -黄金开发区,4室1厅 | 123平米 | 南 | 精装 | 高楼层(共23层)  | 板楼,0人关注 / 12天以前发布,154,"12,521元/平"
锦程苑 3室1厅 南,锦程苑 -章江新区,3室1厅 | 89平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 12天以前发布,111,"12,472元/平"
品质小区，总价低，精装带大金空调，长阳台，方便看房,中海·滨江壹号 -黄金开发区,4室2厅 | 143.32平米 | 南 | 精装 | 低楼层(共32层)  | 板楼,2人关注 / 3个月以前发布,235,"16,397元/平"
中海国际社区锦园  6栋一十九楼房,中海国际社区锦园 -章江新区,2室2厅 | 89.34平米 | 南 | 精装 | 中楼层(共33层)  | 塔楼,0人关注 / 10天以前发布,128,"14,328元/平"
户型通透格局好，楼层好，视野开阔，采光充足，,厚德路43号 -老城区,4室2厅 | 127平米 | 南 | 精装 | 中楼层(共7层)  | 板塔结合,0人关注 / 13天以前发布,79,"6,221元/平"
张家围 榕树苑 房东诚意卖 自住精装修 随时可看,榕樹苑 -老城区,3室2厅 | 118平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 12天以前发布,79.8,"6,763元/平"
万象城旁  天韵雅苑  精装3房  业主诚心出售,天韵雅苑 -章江新区,3室2厅 | 109.49平米 | 南 | 精装 | 中楼层(共31层)  | 板塔结合,18人关注 / 一年前发布,174,"15,892元/平"
弘乾中茂时代新城一期 4室2厅 西南,弘乾中茂时代新城一期 -南康区,4室2厅 | 139.3平米 | 西南 | 其他 | 中楼层(共33层)  | 板塔结合,0人关注 / 6个月以前发布,70,"5,026元/平"
中海国际A区  满五唯一 采光好,中海国际社区东郡A区 -章江新区,3室2厅 | 124平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,12人关注 / 一年前发布,161.2,"13,000元/平"
恒大翡翠华庭 3室1厅 南,恒大翡翠华庭 -章江新区,3室1厅 | 128.19平米 | 南 | 其他 | 低楼层(共26层)  | 板楼,0人关注 / 13天以前发布,185,"14,432元/平"
天然氧吧 3600亩湖山生活 与富豪为友 随时看房,九里峰山花漫里 -蓉江新区,2室2厅 | 76.52平米 | 东南 | 精装 | 中楼层(共27层)  | 板塔结合,19人关注 / 5个月以前发布,71.8,"9,384元/平"
58万三房青年路金皇花园中间楼层诚意出售,金皇花园 -老城区,3室2厅 | 83.42平米 | 南 北 | 精装 | 中楼层(共8层)  | 板楼,0人关注 / 7天以前发布,58,"6,953元/平"
水东  时间公园三期 低楼层 两房,时间公园三期 -水东,3室2厅 | 113平米 | 南 北 | 毛坯 | 低楼层(共11层)  | 板塔结合,0人关注 / 5天以前发布,68,"6,018元/平"
海亮天城 正规4房 中高楼层 业主诚售,海亮天城 -章江新区,4室1厅 | 126.37平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 板楼,1人关注 / 2个月以前发布,181.8,"14,387元/平"
碧桂园玺台　精装3房2厅2卫　中间楼层,碧桂园玺台 -黄金开发区,3室2厅 | 108平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,1人关注 / 13天以前发布,119,"11,019元/平"
健康路4房拎包入住诚意出售 全新装修,健康路24号 -老城区,4室2厅 | 89平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 2个月以前发布,57,"6,405元/平"
有山有水有情怀，精装修四房，安在花园里的家,九里峰山 -蓉江新区,4室1厅 | 148平米 | 南 | 精装 | 低楼层(共32层)  | 板楼,1人关注 / 1个月以前发布,113,"7,636元/平"
龙湾上和城 3室2厅 南,龙湾上和城 -章江新区,3室2厅 | 128.09平米 | 南 | 其他 | 中楼层(共11层)  | 塔楼,0人关注 / 3天以前发布,200,"15,615元/平"
毅德融城 3室1厅 南,毅德融城 -蓉江新区,3室1厅 | 122平米 | 南 | 精装 | 中楼层(共33层)  | 塔楼,0人关注 / 4天以前发布,118,"9,673元/平"
中创水韵春天 3室2厅 南 北,中创水韵春天 -章江新区,3室2厅 | 82.46平米 | 南 北 | 其他 | 低楼层(共32层)  | 板楼,1人关注 / 2天以前发布,135,"16,372元/平"
桃李春天，毛坯房，四房，楼层好,桃李春天 -黄金开发区,4室2厅 | 130平米 | 南 | 毛坯 | 低楼层(共32层)  | 板楼,0人关注 / 9天以前发布,118,"9,077元/平"
万达商圈 六十多万正规三房  中间楼层,七一九社区北苑 -黄金开发区,3室2厅 | 90.1平米 | 南 | 简装 | 中楼层(共7层)  | 塔楼,0人关注 / 13天以前发布,67,"7,437元/平"
福熙城精装舒居大四房，交通方便，生活便利。,福熙城 -于都县,4室2厅 | 133.49平米 | 南 北 | 精装 | 中楼层(共24层)  | 塔楼,0人关注 / 3个月以前发布,110,"8,241元/平"
滨江爱丁堡复式楼大五房诚意出售,滨江·爱丁堡二期 -老城区,5室2厅 | 141.99平米 | 南 | 其他 | 低楼层(共16层)  | 板塔结合,0人关注 / 25天以前发布,166,"11,691元/平"
房东诚售 步步高旁 四房使用空间大 好晒太阳 可按揭,营角上路3号 -老城区,4室2厅 | 129平米 | 南 北 | 其他 | 中楼层(共7层)  | 平房,0人关注 / 26天以前发布,75,"5,814元/平"
中海天玺 4室2厅 南 北,中海天玺 -黄金开发区,4室2厅 | 143.52平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 17天以前发布,312,"21,740元/平"
海亮天城 精装三房 带两个卫生间,海亮天城 -章江新区,3室2厅 | 96.43平米 | 南 | 精装 | 中楼层(共24层)  | 板楼,47人关注 / 7个月以前发布,142.6,"14,788元/平"
视野广阔，无遮挡，坐北朝南，户型方正住家很舒适,隐龙山庄 -黄金开发区,3室2厅 | 105.13平米 | 东南 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 21天以前发布,82.8,"7,876元/平"
张家围精装小三房，中间楼层，带露台采光好停车,民心苑小区 -老城区,3室1厅 | 92平米 | 南 | 精装 | 中楼层(共7层)  | 塔楼,0人关注 / 28天以前发布,67,"7,283元/平"
大公路精装修四房楼层低很好晒太阳另有8平米柴间,大公路58号 -老城区,4室2厅 | 88平米 | 南 | 精装 | 中楼层(共5层)  | 平房,1人关注 / 31天以前发布,45.8,"5,205元/平"
精装修，楼层好，看房方便.....,恒大名都 -站北区,3室1厅 | 123.22平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,1人关注 / 31天以前发布,132,"10,713元/平"
房子格局好，楼层好视野开阔，房东诚意出售,恒大帝景 -黄金开发区,3室1厅 | 104.34平米 | 南 | 精装 | 中楼层(共26层)  | 板楼,0人关注 / 20天以前发布,149,"14,281元/平"
精装修 不临街  长阳台 俯瞰小区园林 直接拎包入住,中海凯旋门 -章江新区,3室2厅 | 89.39平米 | 南 | 精装 | 低楼层(共34层)  | 塔楼,1人关注 / 25天以前发布,149,"16,669元/平"
房东诚意出售 看房方便 正规3房 好停车 有柴间,东胜山路50号 -老城区,3室2厅 | 83平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 30天以前发布,43,"5,181元/平"
此房楼层适中视野开阔，全天日照，交通便利，配套齐全,劲嘉山与城 -黄金开发区,3室2厅 | 117.41平米 | 南 | 毛坯 | 低楼层(共31层)  | 板楼,0人关注 / 24天以前发布,93,"7,921元/平"
江景小区房  全新装修五房  采光好 2009年,江景苑 -水东,5室2厅 | 139平米 | 南 | 精装 | 低楼层(共6层)  | 板塔结合,1人关注 / 1个月以前发布,89,"6,403元/平"
嘉福原山著，中楼层，  业主诚意放售,嘉福原山著 -赣县区,4室2厅 | 142平米 | 南 | 毛坯 | 中楼层(共33层)  | 板塔结合,1人关注 / 3个月以前发布,92,"6,479元/平"
江边小区，精装四房  拎包入住，采光充足,榕樹苑 -老城区,4室2厅 | 143平米 | 东南 | 精装 | 低楼层(共8层)  | 板楼,0人关注 / 2个月以前发布,103,"7,203元/平"
章江新区5房  生态公园旁  中洋公园首府 196万楼层好,中洋•公园首府 -章江新区,5室2厅 | 135.23平米 | 南 | 精装 | 低楼层(共32层)  | 塔楼,15人关注 / 4个月以前发布,196,"14,494元/平"
博德星辰名苑 4室2厅 西南,博德星辰名苑 -章江新区,4室2厅 | 139平米 | 西南 | 精装 | 高楼层(共8层)  | 板楼,3人关注 / 4个月以前发布,122,"8,777元/平"
福荣·香格里拉小区 4室2厅 南,福荣·香格里拉小区 -黄金开发区,4室2厅 | 121平米 | 南 | 毛坯 | 中楼层(共32层)  | 板塔结合,11人关注 / 一年前发布,160,"13,224元/平"
急售急售，全屋精装修四房，交通方便,桃子园39号 -老城区,4室1厅 | 105.3平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,12人关注 / 4个月以前发布,67,"6,363元/平"
户型方正，楼层好，采光充足视野宽阔，配套设施齐全,保利联发·康桥 -黄金开发区,4室2厅 | 142平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,3人关注 / 一年前发布,213,"15,000元/平"
适宜居住的社区，基础设施配套齐全，有商圈可购物娱乐,中洋•公园首府 -章江新区,3室2厅 | 123.17平米 | 南 | 毛坯 | 高楼层(共32层)  | 板楼,4人关注 / 4个月以前发布,180,"14,614元/平"
带露台复式户型方正采光充足楼层好生活方便配套齐全,黄金时代A区 -章江新区,5室3厅 | 194.7平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,1人关注 / 4个月以前发布,160,"8,218元/平"
君兰半岛二期，精装修四房，全屋智能化，视野开阔,美的君兰半岛 -黄金开发区,4室2厅 | 129.32平米 | 南 | 精装 | 高楼层(共32层)  | 暂无数据,0人关注 / 22天以前发布,160,"12,373元/平"
央企保利经典三房南北对流 中间中高楼层 房东忍痛割爱,保利嘉福心语 -黄金开发区,3室1厅 | 112.01平米 | 南 | 毛坯 | 高楼层(共29层)  | 板楼,0人关注 / 19天以前发布,106,"9,464元/平"
章江南苑 1室1厅 南,章江南苑 -章江新区,1室1厅 | 39.55平米 | 南 | 精装 | 高楼层(共6层)  | 塔楼,0人关注 / 19天以前发布,45,"11,379元/平"
蔚蓝半岛小区 业主诚心出售 小区环境好 价格美丽,蔚蓝半岛小区 -老城区,3室2厅 | 132平米 | 南 | 精装 | 低楼层(共6层)  | 塔楼,0人关注 / 4个月以前发布,108,"8,182元/平"
新人民医院旁精装复式，面积大，带露台,阳光瑞香新城B区 -章江新区,4室2厅 | 84平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 9天以前发布,92.6,"11,024元/平"
有小区 好停车 正规三房 南北通  配套齐全,小华兴街18号 -老城区,3室2厅 | 114平米 | 南 | 精装 | 中楼层(共9层)  | 暂无数据,0人关注 / 13天以前发布,71.9,"6,308元/平"
章贡区理工大 学金岭附属学 校旁三房,名鑫苑 -黄金开发区,3室1厅 | 112.78平米 | 南 | 精装 | 中楼层(共6层)  | 暂无数据,1人关注 / 1个月以前发布,79,"7,005元/平"
天骄旁精装3房，满两年，业主急售，可拎包入住,新力·帝泊湾 -黄金开发区,3室2厅 | 108.53平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,2人关注 / 2个月以前发布,116,"10,689元/平"
阳光瑞香新城二房采光好楼层佳视野开阔住诚心出售,阳光瑞香新城A区 -章江新区,2室2厅 | 79.6平米 | 南 | 其他 | 高楼层(共7层)  | 板楼,0人关注 / 4天以前发布,70,"8,794元/平"
贡江学府   楼层好，3居室、低总价 好晒太阳,贡江学府 -赣县区,3室2厅 | 103平米 | 南 北 | 其他 | 高楼层(共27层)  | 暂无数据,0人关注 / 12天以前发布,71.6,"6,952元/平"
有钥匙，随时看房繁华地段，物业好，环境优质,联发君玺 -黄金开发区,3室2厅 | 125.12平米 | 南 | 其他 | 中楼层(共17层)  | 板楼,0人关注 / 1个月以前发布,178,"14,227元/平"
章江新区品质小区   中海国际社区华府   3房2厅2卫,中海国际社区华府 -章江新区,3室2厅 | 131平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,13人关注 / 一年前发布,172.5,"13,168元/平"
恒大精装房，生态公园赣州中 学旁刚需三房，诚意出售,恒大翡翠华庭二期 -章江新区,3室2厅 | 104.09平米 | 西南 | 精装 | 低楼层(共26层)  | 板楼,1人关注 / 2个月以前发布,145,"13,931元/平"
贡江学府   户型方正  3居室 底总价,贡江学府 -赣县区,3室2厅 | 103平米 | 南 北 | 其他 | 低楼层(共27层)  | 暂无数据,0人关注 / 12天以前发布,68,"6,602元/平"
新区精装修3房，拎包入住，诚意出售,恒大翡翠华庭 -章江新区,3室2厅 | 121.6平米 | 南 东南 | 其他 | 中楼层(共26层)  | 板楼,0人关注 / 8天以前发布,172,"14,145元/平"
阳光家园  楼层好 日照采光充足  晾晒方便,阳光家园 -老城区,4室2厅 | 160平米 | 南 | 精装 | 中楼层(共7层)  | 塔楼,0人关注 / 2个月以前发布,100,"6,250元/平"
山水苑，精装两房，领包入住，房东诚意出售,赣南地质调查大队山水苑 -黄金开发区,2室1厅 | 74.14平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,1人关注 / 2个月以前发布,58,"7,824元/平"
位置地段好 楼层漂亮 价格实惠适合刚需,安居工程 -南康区,3室2厅 | 136.39平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 12天以前发布,56.8,"4,165元/平"
开发区万达旁精装大三房，拎包即住,桃源丽景 -黄金开发区,3室2厅 | 138.7平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,3人关注 / 5个月以前发布,102,"7,355元/平"
江景房 大三房 带露台 带柴间 满五唯一,蘇馨園盛世 -南康区,3室2厅 | 138.8平米 | 南 | 简装 | 高楼层(共7层)  | 板塔结合,1人关注 / 3个月以前发布,61,"4,395元/平"
渔湾里旁，采光日照充足，诚意出售 通透户型,潮泥湾3号 -老城区,3室2厅 | 113.07平米 | 南 | 精装 | 中楼层(共7层)  | 平房,0人关注 / 1个月以前发布,64,"5,661元/平"
蓉江新区管委会旁悦蓉府小区89平3房,悦蓉府 -蓉江新区,3室2厅 | 89平米 | 南 | 毛坯 | 低楼层(共24层)  | 板塔结合,2人关注 / 3个月以前发布,83,"9,326元/平"
凯旋城大三房，景观楼层，视野开阔,凯旋城 -南康区,4室2厅 | 137平米 | 南 | 毛坯 | 中楼层(共34层)  | 板楼,0人关注 / 一年前发布,73.9,"5,395元/平"
开发区大三房，单价7000，钥匙在手,富升天賜良园 -黄金开发区,3室2厅 | 138.71平米 | 东南 | 精装 | 高楼层(共7层)  | 板楼,20人关注 / 一年前发布,96,"6,921元/平"
潭口镇4房2厅1厨2卫，有电梯，环境好，出行方便,潭口镇东广场二期邱屋 -蓉江新区,4室2厅 | 137.05平米 | 南 | 毛坯 | 中楼层(共12层)  | 板楼,1人关注 / 7个月以前发布,58,"4,233元/平"
滨江壹号电梯4房，带车位，阳台对着小区景观,中海·滨江壹号 -黄金开发区,4室2厅 | 144平米 | 南 | 精装 | 低楼层(共32层)  | 板楼,12人关注 / 8个月以前发布,249,"17,292元/平"
招商·雍景湾 3室1厅 东南,招商·雍景湾 -黄金开发区,3室1厅 | 105平米 | 东南 | 精装 | 高楼层(共20层)  | 板楼,0人关注 / 1个月以前发布,162,"15,429元/平"
迎宾苑  大三房  南北通透视野好 采光佳 位置好,迎宾苑 -南康区,3室2厅 | 102平米 | 南 西 北 | 毛坯 | 低楼层(共34层)  | 暂无数据,0人关注 / 2个月以前发布,38.6,"3,785元/平"
江山里熙岸 4室2厅 南,江山里熙岸 -章江新区,4室2厅 | 122平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,1人关注 / 3个月以前发布,188,"15,410元/平"
保利品质小区 契税满2年，诚意出售，同小区便宜,保利联发·康桥 -黄金开发区,3室2厅 | 92.78平米 | 东南 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 3个月以前发布,132.9,"14,325元/平"
万达广场旁实用3房，总价不高，精装,方基·塞纳春天 -黄金开发区,3室2厅 | 141.01平米 | 南 | 精装 | 中楼层(共11层)  | 板塔结合,1人关注 / 3个月以前发布,130,"9,220元/平"
房东急售，房子基本未入住，精装5房,巨亿城 -老城区,5室2厅 | 135.29平米 | 南 | 精装 | 中楼层(共28层)  | 板楼,1人关注 / 7个月以前发布,158,"11,679元/平"
铂金时代 3室2厅 西北,铂金时代 -章江新区,3室2厅 | 88.9平米 | 西北 | 精装 | 中楼层(共22层)  | 板塔结合,2人关注 / 1个月以前发布,92,"10,349元/平"
精装修三房楼层好，一套自住，一套出租，可以抵月供。,江湾一号 -站北区,3室2厅 | 89平米 | 南 | 简装 | 中楼层(共16层)  | 板楼,0人关注 / 31天以前发布,89,"10,000元/平"
东城领寓经济型家庭住宅三房电梯带装修,东城领寓 -南康区,3室2厅 | 77平米 | 东南 | 精装 | 低楼层(共31层)  | 板塔结合,2人关注 / 一年前发布,36.8,"4,780元/平"
江景大盘招商雍景湾 Z好江景 Z好楼层 Z好105三房楼栋,招商·雍景湾 -黄金开发区,3室2厅 | 105.84平米 | 东南 | 精装 | 高楼层(共29层)  | 板楼,1人关注 / 24天以前发布,179,"16,913元/平"
人民巷 精装3房 拎包入住 中间楼层 有柴间,人民巷38号 -老城区,4室2厅 | 88.88平米 | 南 | 其他 | 中楼层(共6层)  | 板塔结合,0人关注 / 29天以前发布,60,"6,751元/平"
赣州市三建公司宿舍 3室2厅 南,赣州市三建公司宿舍 -老城区,3室2厅 | 94平米 | 南 | 其他 | 高楼层(共7层)  | 平房,0人关注 / 19天以前发布,52,"5,532元/平"
老城区带露台4房79.8万姚府里公园旁边,姚府里 -老城区,4室2厅 | 100.86平米 | 南 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 28天以前发布,79.8,"7,912元/平"
43万买文清路洪城巷3房诚意出售,洪城巷2号 -老城区,3室1厅 | 90.13平米 | 东 西 | 简装 | 中楼层(共8层)  | 平房,0人关注 / 29天以前发布,43,"4,771元/平"
中海派 3室2厅 南,中海派 -章江新区,3室2厅 | 127平米 | 南 | 其他 | 高楼层(共33层)  | 板楼,0人关注 / 26天以前发布,200,"15,749元/平"
中创水韵春天 4室2厅 南 北,中创水韵春天 -章江新区,4室2厅 | 97.6平米 | 南 北 | 其他 | 高楼层(共31层)  | 板楼,0人关注 / 17天以前发布,193,"19,775元/平"
中海凯旋门 3室2厅 南,中海凯旋门 -章江新区,3室2厅 | 89平米 | 南 | 其他 | 中楼层(共34层)  | 塔楼,1人关注 / 26天以前发布,150,"16,854元/平"
繁华地段配套成熟 可步行上下学 三房 装修新保养好,恒大翡翠华庭 -章江新区,3室1厅 | 107平米 | 南 | 精装 | 低楼层(共26层)  | 板楼,0人关注 / 21天以前发布,148,"13,832元/平"
江边小区 滨江相府 复式结构 可看江带车位,滨江相府 -站北区,3室2厅 | 104.35平米 | 南 | 其他 | 中楼层(共11层)  | 板楼,0人关注 / 2个月以前发布,110,"10,542元/平"
城区成熟社区宜居楼层大3房 生活学 习均便利,阳光家园 -老城区,3室2厅 | 131.77平米 | 南 | 精装 | 中楼层(共7层)  | 板塔结合,0人关注 / 3个月以前发布,85,"6,451元/平"
源盛公园里 无尾款  交易便捷  房东诚意出售,源盛公园里 -赣县区,4室2厅 | 144.05平米 | 南 北 | 其他 | 中楼层(共29层)  | 暂无数据,0人关注 / 1个月以前发布,106,"7,359元/平"
彩虹城二期 ，中高楼层，楼栋好安静  旁边有公园,彩虹城二期 -赣县区,5室2厅 | 135平米 | 南 北 | 其他 | 高楼层(共30层)  | 暂无数据,0人关注 / 1个月以前发布,117,"8,667元/平"
万达商圈一线江景房，正规三房，交通便利,香江半岛 -黄金开发区,3室2厅 | 83.6平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 29天以前发布,116.8,"13,972元/平"
唐江  大唐江山一期  3房2厅 好楼层，视野好诚意出售,大唐江山一期 -南康区,3室2厅 | 126平米 | 南 | 毛坯 | 高楼层(共31层)  | 暂无数据,0人关注 / 26天以前发布,72,"5,715元/平"
户型通透格局好 楼层好 视野开阔 采光充足,江西理工大学西苑区 -老城区,3室2厅 | 120平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,9人关注 / 5个月以前发布,72,"6,000元/平"
万达   新力帝泊湾洋房小区 精装3房,新力帝泊湾二期 -黄金开发区,3室1厅 | 108.91平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,1人关注 / 11天以前发布,108,"9,917元/平"
户型通透，楼层好，视野开阔，采光充足，配套设施齐全,铂金时代 -章江新区,2室2厅 | 115平米 | 南 | 其他 | 中楼层(共26层)  | 板塔结合,0人关注 / 5天以前发布,55,"4,783元/平"
正规3房 生活方便 停车方便 读书近 总价低,蕻菜塘社区 -老城区,3室2厅 | 75平米 | 南 | 精装 | 中楼层(共8层)  | 板楼,5人关注 / 5个月以前发布,39,"5,200元/平"
楼层好 视野开阔 采光充足 配套设施齐全,东胜山路58号 -老城区,3室2厅 | 96.08平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 2个月以前发布,69.8,"7,265元/平"
视野好采光好，配套成熟，出行便捷,豪德银座 -章江新区,3室2厅 | 121.3平米 | 南 | 精装 | 低楼层(共31层)  | 板楼,1人关注 / 2个月以前发布,119,"9,811元/平"
此房使用率高，视野宽阔，采光好,海亮天城 -章江新区,3室2厅 | 98平米 | 南 | 毛坯 | 高楼层(共18层)  | 板楼,107人关注 / 一年前发布,127,"12,960元/平"
健康路，卫府里旁精装三房，采光好，有柴间,健康路9号 -老城区,3室1厅 | 108平米 | 南 | 精装 | 中楼层(共7层)  | 平房,1人关注 / 3个月以前发布,59,"5,463元/平"
黄屋坪 金源城 通透大三房 楼层好 诚意出售,黄屋坪路13号 -老城区,3室2厅 | 119平米 | 南 | 精装 | 低楼层(共8层)  | 暂无数据,25人关注 / 5个月以前发布,66,"5,547元/平"
小区位于生态公园旁，交通便利，生活配套完善,中央城 -章江新区,3室2厅 | 104.27平米 | 南 | 精装 | 高楼层(共32层)  | 板塔结合,1人关注 / 3个月以前发布,130,"12,468元/平"
