标题,开发商,房子信息,发布信息,售价/万,单价
13年新社区，小区管理严格，户型方正，出行便利,建华温泉公寓二区 -五一广场,3室1厅 | 105.51平米 | 南 北 | 毛坯 | 高楼层(共24层)  | 塔楼,2人关注 / 一年前发布,375,"35,542元/平"
海润滨江 自住精装 电梯中层 全明户型 采光好,海润滨江花园B区 -台江万达,3室2厅 | 109.16平米 | 南 | 精装 | 中楼层(共8层)  | 板楼,1人关注 / 1个月以前发布,278,"25,468元/平"
万达爱琴海商圈品质社区，高层3房，纯毛坯，弧形阳台,海润尊品 -浦上大道（金山万达）,3室2厅 | 115.42平米 | 南 北 | 毛坯 | 中楼层(共9层)  | 板楼,0人关注 / 10天以前发布,328,"28,418元/平"
50万装修，满2年，可以看江景，房东诚心卖房子,群升江山城 -福州高新区,4室2厅 | 132.32平米 | 南 | 精装 | 高楼层(共39层)  | 板楼,0人关注 / 1个月以前发布,266,"20,103元/平"
高新区万达旁融侨宜家 高层采光视野好 业主着急出售,融侨宜家一期 -南屿,1室1厅 | 37.35平米 | 东南 | 精装 | 中楼层(共32层)  | 板楼,8人关注 / 一年前发布,48,"12,852元/平"
金山优质社区三房，5号线地铁口,中庚城三期 -榕城广场,3室2厅 | 117.52平米 | 东北 | 精装 | 高楼层(共31层)  | 板塔结合,0人关注 / 1个月以前发布,375,"31,910元/平"
通透户型采光楼层好居家装修大三房，户型通透，采光好,建行宿舍 -左海西湖,3室2厅 | 98.62平米 | 东 南 北 | 精装 | 低楼层(共9层)  | 板楼,0人关注 / 6天以前发布,435,"44,109元/平"
西二环福屿板块 华润万象商圈 框架3房 楼层好,新园C区 -西江滨,3室2厅 | 86.29平米 | 南 北 | 精装 | 低楼层(共9层)  | 板楼,0人关注 / 6天以前发布,185,"21,440元/平"
泰禾红悦 福耀科技大学 万达旁 精装四房 满二高层,泰禾红悦 -福州高新区,4室2厅 | 109.15平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 10天以前发布,178,"16,308元/平"
一中旁 看江大4房 户型无浪费 改善型住宅,贵安新天地贵荣苑 -贵安,4室2厅 | 138.56平米 | 西南 | 毛坯 | 中楼层(共18层)  | 板楼,0人关注 / 12天以前发布,80,"5,774元/平"
三层复式楼+天台使用权+精致新装修=空中迷你墅尊享,水岸君山 -马尾市区,5室3厅 | 120.12平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,7人关注 / 5个月以前发布,215,"17,899元/平"
中海寰宇天下端户业主精装大四房诚意出售,中海寰宇天下 -福州高新区,4室2厅 | 127.09平米 | 西南 北 | 精装 | 高楼层(共34层)  | 板楼,0人关注 / 26天以前发布,328,"25,809元/平"
台江达道地铁200米87平端头3房采光好电梯高层首付55W,嘉兴小区 -中亭街（元洪城）,3室2厅 | 87.04平米 | 南 | 简装 | 中楼层(共15层)  | 塔楼,2人关注 / 21天以前发布,200,"22,978元/平"
急售，万宝商圈，精装修满二年，户型方正，采光好,红旗新村北区 -万宝商圈,3室1厅 | 102.65平米 | 南 西南 | 精装 | 中楼层(共8层)  | 板楼,1人关注 / 20天以前发布,205,"19,971元/平"
75平方做三房，精装修，高层视野好,群升江山城 -福州高新区,3室1厅 | 75.69平米 | 南 | 精装 | 高楼层(共32层)  | 板楼,0人关注 / 17天以前发布,138,"18,233元/平"
地铁口象峰站 电梯中层 精装3房 总价低,君临香格里C区 -五四北,3室1厅 | 100.38平米 | 南 | 精装 | 低楼层(共26层)  | 板楼,0人关注 / 14天以前发布,188,"18,729元/平"
汇城雅园，2012年次新房精装三房拎包入住，,汇诚雅园 -鼓山新东区,3室1厅 | 90.14平米 | 东南 南 北 | 简装 | 中楼层(共16层)  | 板塔结合,0人关注 / 11天以前发布,240,"26,626元/平"
温泉公园旁，精装三房，带露台！,逸园小区 -火车站,3室2厅 | 100.88平米 | 南 北 | 精装 | 低楼层(共9层)  | 板楼,1人关注 / 11天以前发布,188,"18,637元/平"
鼓楼铜左海西湖铜盘白龙早市旁，接小孩老人买菜不二选,干警宿舍 -铜盘路（软件园）,3室2厅 | 94.15平米 | 东北 | 简装 | 中楼层(共9层)  | 板楼,0人关注 / 9天以前发布,189,"20,075元/平"
高新区万达旁龙旺首付30万精装居家 满2年高层拎包入住,康桥丹堤 -福州高新区,3室2厅 | 86.31平米 | 南 | 精装 | 高楼层(共40层)  | 板楼,0人关注 / 4天以前发布,140,"16,221元/平"
省检察院天骐路单位宿舍 3室2厅 南 北,省检察院天骐路单位宿舍 -铜盘路（软件园）,3室2厅 | 87.25平米 | 南 北 | 精装 | 高楼层(共9层)  | 暂无数据,0人关注 / 2天以前发布,230,"26,362元/平"
贵府苑，位置地段好，采光好 标准两房 大门出入口,贵安新天地贵府苑 -贵安,2室1厅 | 85.28平米 | 南 北 | 精装 | 低楼层(共30层)  | 板塔结合,0人关注 / 11天以前发布,47.5,"5,570元/平"
海峡传媒港 精装三房 满二 高层看江 视野好,海峡传媒港 -甘蔗,3室2厅 | 78.03平米 | 南 | 精装 | 中楼层(共40层)  | 板塔结合,0人关注 / 9天以前发布,129,"16,533元/平"
台江万达旁 鳌祥佳园 105平方 精装大3房 业主诚意售,鳌祥佳园一区 -光明港,3室2厅 | 106.39平米 | 南 西 北 | 精装 | 低楼层(共33层)  | 板塔结合,0人关注 / 9天以前发布,200,"18,799元/平"
金桥花园 标准复式大四房 带露台,金桥花园 -上街,4室2厅 | 142.34平米 | 南 北 | 简装 | 高楼层(共5层)  | 板楼,0人关注 / 9天以前发布,220,"15,456元/平"
高新万达旁，满二无公摊，精装三房。,康桥丹堤 -福州高新区,3室2厅 | 86.31平米 | 南 | 精装 | 中楼层(共40层)  | 板楼,0人关注 / 15天以前发布,145,"16,800元/平"
正荣润园 品质社区 精装两房半 满二 业主诚意出售,正荣润园 -甘蔗,3室2厅 | 86.23平米 | 南 | 精装 | 低楼层(共32层)  | 板楼,0人关注 / 11天以前发布,123,"14,265元/平"
低总价 满两年无欠款  高楼层  采光好 诚意出售,融侨宜家一期 -南屿,3室1厅 | 78.69平米 | 南 北 | 精装 | 中楼层(共32层)  | 板楼,0人关注 / 3天以前发布,99,"12,582元/平"
新上：鼓楼外墙贴砖商品房 权属清晰,新园C区 -西江滨,3室2厅 | 91.2平米 | 南 | 简装 | 低楼层(共7层)  | 暂无数据,1人关注 / 1个月以前发布,193,"21,163元/平"
总价低精装拎包入住，双卫全明采光，接邻永辉，写字楼,贵安新天地贵府苑 -贵安,2室1厅 | 85.28平米 | 南 北 | 精装 | 低楼层(共30层)  | 板塔结合,7人关注 / 6个月以前发布,49,"5,746元/平"
六房两厅三卫，适合三代同堂居住。,泰禾红誉二期 -首营新区,6室2厅 | 156.29平米 | 东南 | 毛坯 | 低楼层(共32层)  | 暂无数据,1人关注 / 4个月以前发布,215,"13,757元/平"
精装4房  俯瞰复式庄园别墅 人车分离  伯恩物业,三盛国际公园香槟公馆 -五四北,4室2厅 | 144.28平米 | 西南 | 精装 | 中楼层(共17层)  | 板楼,9人关注 / 一年前发布,311,"21,556元/平"
鼓楼华润万象城旁 2000年实达集团单位宿舍 端头南北,实达文华公寓 -西江滨,3室2厅 | 106.94平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,2人关注 / 24天以前发布,255,"23,846元/平"
宝龙背后 近宁化地铁2号线 正荣润城 精装大4房,正荣润城 -万宝商圈,4室2厅 | 123.41平米 | 南 西 北 | 精装 | 低楼层(共33层)  | 板塔结合,2人关注 / 30天以前发布,438,"35,492元/平"
万宝商圈 北江滨板块 福机新苑 精装电梯高层 采光好,福机新苑 -万宝商圈,2室1厅 | 60.77平米 | 东南 | 简装 | 中楼层(共39层)  | 塔楼,1人关注 / 9天以前发布,175,"28,798元/平"
闽侯大学城人气社区 弧形阳台 精装修 端头全明户型,福晟钱隆学府 -上街,2室1厅 | 44.66平米 | 东 南 北 | 精装 | 低楼层(共11层)  | 塔楼,1人关注 / 15天以前发布,68,"15,227元/平"
茶园山杨桥，居家楼层，南北通透3房,福大怡园 -西江滨,3室1厅 | 69.11平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,0人关注 / 23天以前发布,182,"26,335元/平"
湖滨小、十八中，老少皆宜楼层带大露台，精装拎包入住,煤矿养老院宿舍 -西江滨,2室1厅 | 68.96平米 | 东南 | 精装 | 低楼层(共5层)  | 板楼,0人关注 / 15天以前发布,160,"23,202元/平"
烟台山公园， 户型方正 视野开阔,欣隆盛世状元府 -首山路（师大）,3室1厅 | 83.01平米 | 东 | 精装 | 低楼层(共8层)  | 板楼,0人关注 / 11天以前发布,238,"28,672元/平"
房东诚意出售丨满五唯一丨附属间大丨L型阳台空间大,长春花园 -西江滨,3室2厅 | 111.41平米 | 南 | 精装 | 低楼层(共7层)  | 板楼,0人关注 / 8天以前发布,229,"20,555元/平"
房 东 诚 意 出 售，户 型 方 正,阳光城西海岸B区 -甘蔗,3室1厅 | 85.56平米 | 南 | 精装 | 低楼层(共31层)  | 板楼,0人关注 / 9天以前发布,120,"14,026元/平"
总价低3房102.22加11.92平柴火间,凯兴花园 -马尾市区,3室2厅 | 112.14平米 | 南 | 精装 | 高楼层(共9层)  | 板楼,0人关注 / 11天以前发布,85,"7,580元/平"
十五中宿舍 3室2厅 南 北,十五中宿舍 -中亭街（元洪城）,3室2厅 | 73.46平米 | 南 北 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 4天以前发布,168,"22,870元/平"
凯兴花园丨3房2厅1卫1厨丨居家装修丨看房方便,凯兴花园 -马尾市区,3室2厅 | 106.36平米 | 南 | 简装 | 低楼层(共9层)  | 板楼,0人关注 / 1个月以前发布,110,"10,343元/平"
三坊七巷旁！全明户型，采光视野好！南北通透，西峰,天盛小区 -三坊七巷,3室2厅 | 83.56平米 | 东 南 北 | 简装 | 中楼层(共8层)  | 板楼,2人关注 / 1个月以前发布,259,"30,996元/平"
博仕后龙港城，高层端头，比毛柸还便宜的大四房双阳台,博仕后龙港城 -甘蔗,4室2厅 | 118.33平米 | 西南 | 简装 | 中楼层(共32层)  | 板楼,9人关注 / 8个月以前发布,160,"13,522元/平"
火巷里88号教工宿舍 3室1厅 南 北,火巷里88号教工宿舍 -五一广场,3室1厅 | 60.29平米 | 南 北 | 其他 | 低楼层(共7层)  | 暂无数据,0人关注 / 4天以前发布,148,"24,549元/平"
贵安贵邸苑 业主用心精装三房两卫  随时可看,贵安新天地贵邸苑 -贵安,3室2厅 | 98平米 | 东南 | 精装 | 高楼层(共26层)  | 板楼,0人关注 / 7天以前发布,78.3,"7,990元/平"
快安名郡120平3室 总价155万 证满五年 楼栋楼层都好,名郡 -江滨东大道(快安）,3室2厅 | 120平米 | 南 西南 | 简装 | 中楼层(共18层)  | 板楼,3人关注 / 3个月以前发布,155,"12,917元/平"
此房满五年税费少，全明户型，精装修拎包住,桂梅小区 -塔头,4室2厅 | 111.93平米 | 南 西 北 | 简装 | 高楼层(共8层)  | 暂无数据,1人关注 / 1个月以前发布,165,"14,742元/平"
大儒世家电梯2房出售，南北通透,大儒世家朗园 -大儒世家,2室2厅 | 81.73平米 | 南 北 | 简装 | 低楼层(共17层)  | 板楼,0人关注 / 9天以前发布,205,"25,083元/平"
五四北新嘉小区低单价，房东诚意出售,新嘉小区 -五四北,3室2厅 | 106.28平米 | 南 | 简装 | 中楼层(共8层)  | 板塔结合,3人关注 / 2个月以前发布,140,"13,173元/平"
泰禾红悦 精装三房 全屋内墙防水艺术漆 满五唯一,泰禾红悦 -福州高新区,3室2厅 | 88.87平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,3人关注 / 4个月以前发布,147,"16,542元/平"
五一广场 水部地铁 电梯3房 户型方正 南北通透 高层,华馨小区 -五一广场,3室2厅 | 102.37平米 | 东南 北 | 简装 | 中楼层(共7层)  | 板楼,7人关注 / 3个月以前发布,238,"23,249元/平"
东街口 地铁口旁 开元新村  框架两房 南北通透 低楼层,开元新村一区 -三坊七巷,2室1厅 | 67.92平米 | 南 北 | 简装 | 低楼层(共8层)  | 板楼,1人关注 / 1个月以前发布,248,"36,514元/平"
钱隆学府 带入户花园 东白城 居家装修,福晟钱隆学府 -上街,3室2厅 | 89.12平米 | 南 北 | 简装 | 中楼层(共17层)  | 塔楼,5人关注 / 2个月以前发布,140,"15,710元/平"
此房产权满五年，高楼层，视野开阔，社区配套成熟,融侨宜家一期 -南屿,3室2厅 | 79.43平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,4人关注 / 4个月以前发布,112,"14,101元/平"
新上世欧广场旁 世欧王庄一区中间楼层电梯房,世欧王庄一区 -王庄,3室2厅 | 90.81平米 | 南 | 精装 | 中楼层(共42层)  | 板楼,1人关注 / 4个月以前发布,243,"26,760元/平"
软件园口，低公摊，南北通透两房，楼层适中，简单装修,福州文山里小区 -铜盘路（软件园）,2室2厅 | 77.4平米 | 北 南 | 简装 | 低楼层(共7层)  | 板楼,12人关注 / 5个月以前发布,97,"12,533元/平"
晋安湖胖　框架结构　精装3房　总价低,茶会社区 -福马路,3室2厅 | 80.5平米 | 东南 | 精装 | 高楼层(共8层)  | 板楼,9人关注 / 5个月以前发布,128,"15,901元/平"
温泉  十九 电梯 框架两房  端头户型 好装修 只此,海山宿舍 -五四路（温泉公园）,2室2厅 | 73.79平米 | 西南 北 | 精装 | 中楼层(共9层)  | 板楼,0人关注 / 1个月以前发布,290,"39,301元/平"
贵泉苑 满两年， 采光充足，中间楼层，家具家电齐,贵安新天地贵泉苑 -贵安,3室2厅 | 76平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,2人关注 / 1个月以前发布,57,"7,500元/平"
电梯高层，凤湖三房，通透，居家好房,凤湖新城五区 -西江滨,3室2厅 | 124.34平米 | 南 北 | 精装 | 中楼层(共30层)  | 板楼,1人关注 / 7个月以前发布,280,"22,519元/平"
诚意出售，满，端头全明户型，社区环境好，4号线旁,阳光城檀悦 -东二环,3室1厅 | 105.82平米 | 东 南 北 | 精装 | 低楼层(共31层)  | 板楼,0人关注 / 2个月以前发布,275,"25,988元/平"
精装三房，南北通透，三开间朝南,中海寰宇天下 -福州高新区,3室2厅 | 89.8平米 | 南 西南 北 | 精装 | 低楼层(共33层)  | 板塔结合,14人关注 / 11个月以前发布,193,"21,493元/平"
茶园山，框架大三房，南北通透，老少皆宜楼层，低总价,西洪新村 -西江滨,3室2厅 | 114.53平米 | 南 北 | 简装 | 低楼层(共9层)  | 板楼,2人关注 / 5个月以前发布,270,"23,575元/平"
大三房，满二年，户型方正，采光好，户型阳光足,贵安新天地贵华苑 -贵安,3室2厅 | 120.44平米 | 南 北 | 精装 | 高楼层(共18层)  | 塔楼,2人关注 / 8个月以前发布,95,"7,888元/平"
单价5000 高层大三房 满五唯一 贵雅苑,贵安新天地贵雅苑 -贵安,3室2厅 | 146平米 | 南 | 毛坯 | 中楼层(共16层)  | 板楼,1人关注 / 2个月以前发布,68,"4,658元/平"
象峰站  商品房 君临香格里C区 电梯高层 总价低,君临香格里C区 -五四北,3室2厅 | 92.48平米 | 南 北 | 简装 | 高楼层(共26层)  | 板楼,15人关注 / 7个月以前发布,166,"17,950元/平"
：电梯房高层精装，视野宽阔光线充足 配套成熟，,祥园新苑 -火车站,2室2厅 | 76.31平米 | 南 | 精装 | 中楼层(共27层)  | 暂无数据,2人关注 / 2个月以前发布,138,"18,085元/平"
端头户型，刚刚装修好的房子，业主工作调动，忍痛割爱,正祥林语墅三期 -南屿,3室2厅 | 92.27平米 | 东 东南 南 | 精装 | 中楼层(共34层)  | 暂无数据,1人关注 / 10个月以前发布,145,"15,715元/平"
贵居苑精装修三房，高层视野好，精装修25万,贵安新天地贵居苑 -贵安,3室2厅 | 120平米 | 东南 | 精装 | 中楼层(共26层)  | 板楼,10人关注 / 一年前发布,71,"5,917元/平"
满两年，费用低，户型方正，一梯两户，南北通透,三木花园D区 -福马路,3室2厅 | 83.18平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,165,"19,837元/平"
塔头 琯尾街 金鸡山公园 旁边 框架 三房 精装,金鸡山公寓 -塔头,3室1厅 | 85平米 | 南 北 | 精装 | 低楼层(共8层)  | 平房,1人关注 / 4个月以前发布,149,"17,530元/平"
贵泉苑 精装高层 大三房两卫 双阳台 视野开阔,贵安新天地贵泉苑 -贵安,3室2厅 | 100平米 | 南 | 精装 | 高楼层(共25层)  | 板楼,0人关注 / 1个月以前发布,89.5,"8,950元/平"
业主诚意置换  精装修三房户型！ 中间楼层看花园,中铁城吉第三期 -荆溪,3室2厅 | 76.52平米 | 西南 | 精装 | 中楼层(共26层)  | 板塔结合,0人关注 / 6个月以前发布,115,"15,029元/平"
浦上桥头，精装三房，满两年，视野开阔,正荣财富中心 -闽侯大学城,3室2厅 | 89.37平米 | 南 | 精装 | 中楼层(共39层)  | 塔楼,3人关注 / 6个月以前发布,183,"20,477元/平"
塔头精装两房，中间楼层，居家装修。首付33万。,市消毒站宿舍 -塔头,2室1厅 | 59.33平米 | 南 北 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 1个月以前发布,103,"17,361元/平"
出行便利，公交地铁都有，旁边就是福州广场,信茂温泉公寓 -五四路（温泉公园）,3室2厅 | 120.96平米 | 北 | 精装 | 高楼层(共14层)  | 板楼,0人关注 / 5个月以前发布,410,"33,896元/平"
桥头堡别墅社区！闽都大庄园！东端头户型！,闽都大庄园 -上街,3室2厅 | 111.49平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,17人关注 / 5个月以前发布,135,"12,109元/平"
高新区 龙旺康桥丹堤 高层 视野好 无遮挡 满两年,康桥丹堤 -福州高新区,3室2厅 | 86.24平米 | 南 | 毛坯 | 高楼层(共40层)  | 板楼,7人关注 / 一年前发布,131,"15,191元/平"
乌龙江旁 中天金海岸 客厅大面宽，居家装修电梯4房,中天金海岸天骄苑 -金山公园,4室2厅 | 161.22平米 | 南 北 | 精装 | 中楼层(共32层)  | 平房,4人关注 / 5个月以前发布,365,"22,640元/平"
宁化地铁口  三迪香颂枫丹 三房三卫精装+车位430万,三迪香颂枫丹 -万宝商圈,3室2厅 | 121.73平米 | 南 北 | 精装 | 低楼层(共17层)  | 板楼,11人关注 / 5个月以前发布,429,"35,242元/平"
台江万达鳌峰公园北侧花园位置不临街、三面采光通风佳,鳌峰苑 -光明港,3室2厅 | 92.25平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 3个月以前发布,189,"20,488元/平"
看江大三房，朝南大阳台，电梯高层,阳光理想城香草天空揽香 -上街,3室2厅 | 90.64平米 | 南 | 简装 | 中楼层(共26层)  | 板塔结合,1人关注 / 1个月以前发布,128,"14,122元/平"
满二无欠款省税 端头户型装修好的三面采光户型通透。,博仕后官邸 -上街,3室2厅 | 103.55平米 | 西 南 北 | 精装 | 高楼层(共33层)  | 板楼,3人关注 / 3个月以前发布,176,"16,997元/平"
贵安新天地贵泉苑 3室2厅 南,贵安新天地贵泉苑 -贵安,3室2厅 | 75.9平米 | 南 | 精装 | 高楼层(共32层)  | 板楼,0人关注 / 2个月以前发布,55,"7,247元/平"
东二环 塔头4号线地铁口 岳峰新村 满2省税 精装大三房,岳峰新村 -塔头,3室2厅 | 84.06平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,165,"19,629元/平"
东二环商圈 此房满五 首付低 得房率高,煤场小区 -火车站,3室2厅 | 79.32平米 | 南 北 西 | 精装 | 低楼层(共7层)  | 暂无数据,0人关注 / 1个月以前发布,168,"21,181元/平"
三坊七巷，东街地鉄口 南后街 框架3房 全明户型！,双抛桥一里小区 -东街口,3室2厅 | 78平米 | 西南 北 | 简装 | 低楼层(共8层)  | 板楼,0人关注 / 23天以前发布,190,"24,359元/平"
东方名城 康郡 前排看江98平精装150万,东方名城康郡 -江滨东大道(快安）,2室2厅 | 98平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 4天以前发布,150,"15,307元/平"
翠榕苑精装小两房，免接，上学方便,翠榕苑 -榕城广场,2室2厅 | 63.62平米 | 南 | 精装 | 中楼层(共6层)  | 板塔结合,0人关注 / 7天以前发布,218,"34,266元/平"
门口地铁口，电梯端头户型，居家4房，单价1.8万哪里找,蓝山四季 -五四北,4室2厅 | 140.54平米 | 南 | 精装 | 低楼层(共9层)  | 板楼,4人关注 / 3个月以前发布,260,"18,501元/平"
湖滨小十八，贴砖四房，东南北，中间楼层,金达花园 -西江滨,4室2厅 | 125.75平米 | 东南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,335,"26,641元/平"
公园道端头叠上精装百万拎包入住,公园道一号一区 -金山公园,5室2厅 | 229.24平米 | 西南 | 精装 | 低楼层(共2层)  | 板塔结合,12人关注 / 4个月以前发布,650,"28,355元/平"
金城湾 出门地铁站 电梯高层东端头 自住精装修三房,新榕金城湾 -金山公园,3室2厅 | 118.15平米 | 南 北 | 精装 | 高楼层(共34层)  | 板塔结合,1人关注 / 26天以前发布,300,"25,392元/平"
温泉十九 框架2中层，细节三好，停车方便单位管理,金龙新村 -五四路（温泉公园）,3室2厅 | 79.68平米 | 南 北 | 简装 | 低楼层(共8层)  | 暂无数据,0人关注 / 28天以前发布,325,"40,789元/平"
华润万象城边，西二环，精装修3房2卫2阳，高层无遮挡,福尚名居 -西江滨,3室2厅 | 108.04平米 | 南 北 | 精装 | 高楼层(共29层)  | 塔楼,1人关注 / 27天以前发布,289,"26,750元/平"
鼓楼区 左海边 融侨三区 中层 精装修 可拎包 采光好,融侨花园三区 -铜盘路（软件园）,3室2厅 | 94.9平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 18天以前发布,235,"24,763元/平"
近万宝商圈 宁化地铁口 福机新苑  2房 精装 高层看江,福机新苑 -万宝商圈,2室1厅 | 60.75平米 | 东南 | 精装 | 高楼层(共39层)  | 塔楼,1人关注 / 20天以前发布,175,"28,807元/平"
东方名城 138平 高层 户型好200万,东方名城康郡 -江滨东大道(快安）,3室2厅 | 138平米 | 南 | 毛坯 | 中楼层(共33层)  | 板楼,0人关注 / 23天以前发布,200,"14,493元/平"
房东急卖 五一南路金色维也纳花园式社区，,金色维也纳A区 -瀛洲红星,3室2厅 | 111.81平米 | 南 北 | 简装 | 低楼层(共18层)  | 板楼,0人关注 / 3个月以前发布,252,"22,539元/平"
上下杭景区旁，南北通透，居家 ，出门地铁口，采光好,君临天华C区 -中亭街（元洪城）,3室2厅 | 125.63平米 | 南 北 | 精装 | 高楼层(共19层)  | 板塔结合,59人关注 / 11个月以前发布,275,"21,890元/平"
华润橡树湾丨电梯高层丨低总价丨看江视野好丨央企社区,橡树湾橡府 -金山奥体,3室2厅 | 86.25平米 | 南 | 简装 | 高楼层(共19层)  | 板楼,0人关注 / 1个月以前发布,208,"24,116元/平"
低总价，东端头，中间楼层，全明结构，两房并排朝南,新嘉小区 -五四北,2室2厅 | 75.26平米 | 东南 | 简装 | 中楼层(共6层)  | 板塔结合,1人关注 / 3个月以前发布,105,"13,952元/平"
贵安东街口，标准两房，高层采光充足,贵安新天地贵府苑 -贵安,2室1厅 | 73.62平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,2人关注 / 1个月以前发布,49,"6,656元/平"
万科中层 满两年 楼距宽 装修简约时尚  产权清晰,万科又一城 -闽侯大学城,3室2厅 | 99.1平米 | 南 | 精装 | 中楼层(共32层)  | 暂无数据,0人关注 / 4个月以前发布,223,"22,503元/平"
刚需三房！总价低，居家装修可拎包入住！,帝豪花园 -马尾市区,3室2厅 | 103平米 | 东 东南 | 简装 | 中楼层(共8层)  | 板楼,4人关注 / 5个月以前发布,123,"11,942元/平"
融侨宜家端头精装三房 随时可看 满五年唯一省税费,融侨宜家一期 -南屿,3室1厅 | 85.86平米 | 东南 南 | 精装 | 中楼层(共32层)  | 板楼,4人关注 / 8个月以前发布,117,"13,627元/平"
有钥匙，端头全明户型，南北通透，很棒的3房户型哦,福湾新城秋月苑 -金山奥体,3室2厅 | 97.72平米 | 南 北 | 简装 | 高楼层(共17层)  | 塔楼,0人关注 / 3个月以前发布,160,"16,374元/平"
加州城带装修 三房户型 低总价,加州城 -福清市,3室2厅 | 111.77平米 | 南 | 精装 | 中楼层(共11层)  | 暂无数据,1人关注 / 2个月以前发布,132,"11,810元/平"
北江滨电梯精装3房，达道地铁口满可无抵押,安平小区 -中亭街（元洪城）,3室1厅 | 86.07平米 | 南 | 精装 | 中楼层(共19层)  | 板楼,4人关注 / 3个月以前发布,207,"24,051元/平"
总价126万买福马路地铁口  高层电梯 居家三房,洋里佳园 -国货路,3室2厅 | 89.95平米 | 南 | 简装 | 中楼层(共26层)  | 板楼,3人关注 / 2个月以前发布,126,"14,008元/平"
上海新苑，全明户型，客厅带阳台，三房,上海新苑 -万宝商圈,3室2厅 | 89.74平米 | 西北 | 简装 | 高楼层(共34层)  | 塔楼,0人关注 / 1个月以前发布,218,"24,293元/平"
此房满二年，阔绰户型，视野好，户型方正,海西提 -马尾市区,4室2厅 | 114.35平米 | 南 北 | 精装 | 中楼层(共30层)  | 板塔结合,5人关注 / 9个月以前发布,155,"13,555元/平"
地铁2号线的1-2复式楼，使用面积很大,博仕后家园B区 -上街,3室2厅 | 114.3平米 | 东南 | 简装 | 低楼层(共25层)  | 板楼,0人关注 / 1个月以前发布,183,"16,011元/平"
