标题,开发商,房子信息,发布信息,售价/万,单价
融创美伦熙语一期朝南精装修两房,融创美伦熙语 -老城,2室2厅 | 77.25平米 | 南 | 精装 | 低楼层(共26层)  | 板楼,2人关注 / 30天以前发布,80,"10,356元/平"
四季康城二期工大嘉园，精装修，南北通透户型,工大嘉园 -老城,3室2厅 | 87.54平米 | 南 北 | 精装 | 高楼层(共16层)  | 暂无数据,1人关注 / 28天以前发布,92,"10,510元/平"
此房满五唯一    精装修    带家具家电,天赐上湾 -老城,2室2厅 | 77平米 | 东南 | 简装 | 高楼层(共11层)  | 板塔结合,0人关注 / 17天以前发布,72.9,"9,468元/平"
满五唯一，精装未入住过，繁华地段，全明户型。,盈滨绿生花园 -老城,1室2厅 | 59.62平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,0人关注 / 15天以前发布,58.61,"9,831元/平"
金手指高尔夫温泉小镇 1室1厅 南,金手指高尔夫温泉小镇 -老城,1室1厅 | 67.85平米 | 南 | 精装 | 中楼层(共11层)  | 板塔结合,0人关注 / 16天以前发布,57,"8,401元/平"
长寿之乡 软件园片区 出行方便  大两房,海南软件园青年公寓 -老城,2室2厅 | 90.3平米 | 西南 | 精装 | 低楼层(共25层)  | 塔楼,35人关注 / 一年前发布,60,"6,645元/平"
学府花苑 1室0厅 南,学府花苑 -老城,1室0厅 | 35.39平米 | 南 | 其他 | 低楼层(共13层)  | 板塔结合,0人关注 / 5天以前发布,31,"8,760元/平"
此房满五唯一，小户型，中高楼层 视野好,金手指高尔夫温泉小镇 -老城,1室0厅 | 43.76平米 | 西南 | 精装 | 高楼层(共11层)  | 板塔结合,1人关注 / 2个月以前发布,31.5,"7,199元/平"
学府花苑 1室0厅 南,学府花苑 -老城,1室0厅 | 35.3平米 | 南 | 其他 | 低楼层(共13层)  | 板塔结合,0人关注 / 5天以前发布,31,"8,782元/平"
北外旁大型小区福隆丽水湾户型方正采光充足,福隆丽水湾2期 -老城,2室1厅 | 67.9平米 | 北 | 精装 | 中楼层(共31层)  | 板楼,0人关注 / 15天以前发布,75,"11,046元/平"
北外旁 福隆丽水湾一期 两房 满五唯一顶层复式大露台,福隆·丽水湾 -老城,2室1厅 | 68.85平米 | 西北 北 | 简装 | 中楼层(共20层)  | 板楼,11人关注 / 4个月以前发布,76,"11,039元/平"
四季康城三期，软件园区旁，小区有泳池，温泉泡池,四季康城三期荣和新城 -老城,3室2厅 | 90.5平米 | 东南 | 精装 | 低楼层(共18层)  | 板楼,11人关注 / 4个月以前发布,101,"11,161元/平"
中间楼层 全新无人住过 23年4月满五唯一,四季康城诗健苑 -老城,2室2厅 | 80.05平米 | 西北 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 12天以前发布,88,"10,994元/平"
此房户型好 小区环境不错 生活配套全，交通方变,四季康城诗健苑 -老城,3室2厅 | 114.58平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,3人关注 / 3个月以前发布,118,"10,299元/平"
四季康城三期荣和新城 满五唯一 南北通透 中间楼层,四季康城三期荣和新城 -老城,3室2厅 | 94平米 | 南 北 | 精装 | 高楼层(共18层)  | 暂无数据,2人关注 / 1个月以前发布,108,"11,490元/平"
户型方正，南北通透，楼层好。。。,尚域世家 -老城,2室2厅 | 85平米 | 南 北 | 精装 | 高楼层(共18层)  | 板塔结合,4人关注 / 4个月以前发布,95,"11,177元/平"
急售  急售  长寿之乡小两房,天赐上湾 -老城,2室2厅 | 77平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,0人关注 / 4个月以前发布,94,"12,208元/平"
此房一楼带花园  南北通透 价格美丽  毛坯,熙岸高尔夫公寓 -老城,2室2厅 | 85平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板塔结合,0人关注 / 1个月以前发布,62,"7,295元/平"
北外旁 福隆丽水湾一期 77.9平精装两房 南向,福隆·丽水湾 -老城,2室2厅 | 77.9平米 | 南 | 精装 | 高楼层(共24层)  | 塔楼,2人关注 / 1个月以前发布,85,"10,912元/平"
工大嘉园 3室2厅 南,工大嘉园 -老城,3室2厅 | 92平米 | 南 | 精装 | 中楼层(共16层)  | 暂无数据,1人关注 / 21天以前发布,101,"10,979元/平"
小区环境好，出行方便，生活便利,中华坊 -老城,2室2厅 | 85.34平米 | 北 | 精装 | 高楼层(共18层)  | 板塔结合,0人关注 / 23天以前发布,72,"8,437元/平"
鲁能海蓝福源 2室2厅 东南,鲁能海蓝福源 -老城,2室2厅 | 77平米 | 东南 | 精装 | 中楼层(共18层)  | 塔楼,2人关注 / 23天以前发布,78,"10,130元/平"
鲁能海蓝福源 3室2厅 南 北,鲁能海蓝福源 -老城,3室2厅 | 93.08平米 | 南 北 | 其他 | 低楼层(共11层)  | 板塔结合,0人关注 / 17天以前发布,105,"11,281元/平"
澄迈老城东汇森语林两房满五唯一,东汇•森语林 -老城,2室1厅 | 77.5平米 | 南 | 其他 | 高楼层(共18层)  | 板塔结合,0人关注 / 19天以前发布,72,"9,291元/平"
尚域世家 2室2厅 南,尚域世家 -老城,2室2厅 | 78.13平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,0人关注 / 19天以前发布,88,"11,264元/平"
精装修 南北通透 满五唯一 住房 采光好 商圈成熟,新香缇假日 -老城,2室1厅 | 70.52平米 | 南 北 | 简装 | 中楼层(共11层)  | 板楼,20人关注 / 11个月以前发布,55,"7,800元/平"
盈滨半岛 满五唯一 无高税 房子保养好,盈滨海岸 -老城,2室2厅 | 89.56平米 | 南 | 其他 | 低楼层(共11层)  | 塔楼,18人关注 / 一年前发布,82,"9,156元/平"
高楼层海景房 采光好通透 领包入住 钥匙在手 随时看房,恒大御景湾 -老城,3室2厅 | 108.6平米 | 北 | 精装 | 中楼层(共33层)  | 塔楼,15人关注 / 一年前发布,100,"9,209元/平"
西海岸 盈滨半岛 鲁能海蓝福源 双阳台好户型 观泳池,鲁能海蓝福源 -老城,2室2厅 | 90.09平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,1人关注 / 1个月以前发布,95,"10,546元/平"
老城苏氏园林建筑小区中华坊  两房户型,中华坊 -老城,2室1厅 | 86.5平米 | 东南 | 精装 | 低楼层(共17层)  | 板塔结合,0人关注 / 4个月以前发布,85.6,"9,896元/平"
小两房户型，小区环境优美，有泳池温泉泡池等,四季康城三期荣和新城 -老城,2室2厅 | 72.45平米 | 南 | 其他 | 高楼层(共18层)  | 板塔结合,1人关注 / 1个月以前发布,75,"10,352元/平"
福隆丽水湾二期 ，方正倆房 高品质社区环境好！,福隆丽水湾2期 -老城,2室2厅 | 70.53平米 | 西 北 | 毛坯 | 低楼层(共31层)  | 板塔结合,0人关注 / 1个月以前发布,63,"8,933元/平"
花园式小区碧海金珠，两房精装修出售,碧海·金珠花园 -老城,2室2厅 | 86.78平米 | 南 | 精装 | 低楼层(共24层)  | 板塔结合,6人关注 / 7个月以前发布,103,"11,870元/平"
房子在好位置 采光好 户型好方正 楼下就是小孩游乐场,工大嘉园 -老城,3室1厅 | 92平米 | 南 北 | 精装 | 低楼层(共18层)  | 板塔结合,1人关注 / 2个月以前发布,108,"11,740元/平"
鲁能海蓝福原 大品牌 毛坯 海景房,鲁能海蓝福源 -老城,3室2厅 | 116平米 | 东 | 毛坯 | 高楼层(共30层)  | 板塔结合,1人关注 / 2个月以前发布,92,"7,932元/平"
朝南户型，房屋格局方正，中楼层，视野采光都不错,工大嘉园 -老城,2室2厅 | 64.04平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,1人关注 / 6个月以前发布,75,"11,712元/平"
业主急售，精装修家具家电齐全，高楼层朝南向，配套全,融创美伦熙语 -老城,2室1厅 | 72.57平米 | 南 北 | 精装 | 高楼层(共26层)  | 板楼,1人关注 / 31天以前发布,85,"11,713元/平"
毛坯房，南北通透，视野采光很好。,工大嘉园 -老城,3室2厅 | 97.59平米 | 南 北 | 毛坯 | 高楼层(共15层)  | 暂无数据,13人关注 / 5个月以前发布,102,"10,452元/平"
鲁能海蓝福源 2室2厅 南,鲁能海蓝福源 -老城,2室2厅 | 87平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,1人关注 / 5个月以前发布,88,"10,115元/平"
海口后花园  新香缇假日  精装一房,新香缇假日 -老城,1室1厅 | 37.61平米 | 北 | 精装 | 低楼层(共11层)  | 塔楼,0人关注 / 8个月以前发布,29.9,"7,951元/平"
中间楼层，南北通透，小区环境好,四季康城三期荣和新城 -老城,3室2厅 | 97.08平米 | 南 北 | 精装 | 中楼层(共18层)  | 板塔结合,10人关注 / 7个月以前发布,101,"10,404元/平"
配套完善，购物方便，户型方正.,香缇假日 -老城,1室0厅 | 31.06平米 | 南 | 简装 | 低楼层(共13层)  | 板塔结合,1人关注 / 3个月以前发布,24,"7,727元/平"
大阳台，朝南一房，精装修，总价低，视野好,佳元·七彩澜湾 -老城,1室2厅 | 54平米 | 南 | 简装 | 中楼层(共23层)  | 板塔结合,2人关注 / 9个月以前发布,59,"10,926元/平"
户型方正，南北通透，光线好，装修很好,盈滨绿生花园 -老城,2室2厅 | 70平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,1人关注 / 1个月以前发布,63,"9,000元/平"
此房满二，生活便利，夜市旁边生活配套齐全，交通便利,香缇假日 -老城,2室2厅 | 92.71平米 | 南 | 毛坯 | 中楼层(共13层)  | 板塔结合,8人关注 / 一年前发布,60,"6,472元/平"
恒大御景湾两房，满五唯一，业主诚心出售。,恒大御景湾 -老城,2室2厅 | 90平米 | 西北 | 精装 | 低楼层(共33层)  | 板塔结合,2人关注 / 1个月以前发布,85,"9,445元/平"
佳元·七彩澜湾 2室1厅 南,佳元·七彩澜湾 -老城,2室1厅 | 69.2平米 | 南 | 其他 | 中楼层(共23层)  | 板塔结合,0人关注 / 1个月以前发布,76,"10,983元/平"
业主诚心出售   南海大道两房,南海阳光 -老城,2室1厅 | 68.15平米 | 东南 南 西南 | 毛坯 | 中楼层(共22层)  | 塔楼,3人关注 / 1个月以前发布,47,"6,897元/平"
盈滨半岛旅游度假区鲁能海蓝福源东二区,鲁能海蓝福源 -老城,2室2厅 | 91平米 | 东南 | 其他 | 中楼层(共30层)  | 板塔结合,5人关注 / 8个月以前发布,98,"10,770元/平"
碧海·金珠花园 2室2厅 南,碧海·金珠花园 -老城,2室2厅 | 91.37平米 | 南 | 精装 | 低楼层(共24层)  | 板塔结合,0人关注 / 1个月以前发布,120,"13,134元/平"
盈滨半岛 急售  满五唯一  小户型,金手指高尔夫温泉小镇 -老城,1室1厅 | 46.67平米 | 北 | 毛坯 | 高楼层(共11层)  | 板塔结合,0人关注 / 30天以前发布,33,"7,071元/平"
软件园旁，朝南小面积两房，大产权 新小区 低价格税低,兰汀美地 -老城,2室1厅 | 64平米 | 南 | 简装 | 低楼层(共15层)  | 板塔结合,16人关注 / 6个月以前发布,65,"10,157元/平"
顶层跃层，层高6米多，改造空间大，附带大露台,福隆丽水湾3期 -老城,3室2厅 | 59.36平米 | 南 西 | 毛坯 | 高楼层(共25层)  | 板塔结合,14人关注 / 8个月以前发布,85,"14,320元/平"
此房户型好 一房一厅 满五唯一 业主诚心出售！,东汇•森语林 -老城,1室2厅 | 58平米 | 北 | 毛坯 | 中楼层(共18层)  | 暂无数据,3人关注 / 9个月以前发布,53,"9,138元/平"
澄迈老城 中华坊 39平精装一房一厅一厨一卫一阳台,中华坊 -老城,1室0厅 | 39平米 | 西北 | 其他 | 中楼层(共18层)  | 板塔结合,1人关注 / 7个月以前发布,37,"9,488元/平"
碧海金珠，两房精装修未住过，安静，视野景观好,碧海·金珠花园 -老城,2室1厅 | 77.29平米 | 南 | 精装 | 中楼层(共24层)  | 板塔结合,4人关注 / 3个月以前发布,120,"15,526元/平"
四季康城一期 3室2厅 东南 西北,四季康城一期 -老城,3室2厅 | 85.89平米 | 东南 西北 | 简装 | 低楼层(共18层)  | 板塔结合,1人关注 / 4天以前发布,95,"11,061元/平"
尚域世家 2室1厅 南,尚域世家 -老城,2室1厅 | 78平米 | 南 | 其他 | 中楼层(共18层)  | 板塔结合,0人关注 / 4天以前发布,82,"10,513元/平"
房子在好位置 采光好 户型好方正 楼下就是小孩游乐场,工大嘉园 -老城,2室2厅 | 65平米 | 北 | 精装 | 中楼层(共18层)  | 板塔结合,0人关注 / 2天以前发布,75,"11,539元/平"
海口西独门独院温泉别墅，精装修，拎包入住,碧海蒙苑 -老城,5室2厅 | 176平米 | 南 北 | 精装 | 2层  | 板塔结合 | 独栋别墅 ,0人关注 / 21天以前发布,400,"22,728元/平"
香缇假日 3室2厅 南,香缇假日 -老城,3室2厅 | 111.27平米 | 南 | 简装 | 中楼层(共12层)  | 板塔结合,0人关注 / 25天以前发布,100,"8,988元/平"
澄迈老城，两室两厅，满五唯一 养老度假,海航幸福家园小区 -老城,2室2厅 | 85.23平米 | 南 | 毛坯 | 中楼层(共6层)  | 板塔结合,1人关注 / 31天以前发布,65,"7,627元/平"
南北通透，成熟小区，配套齐全。。。。。。。。。,四季康城二期 -老城,3室2厅 | 123平米 | 南 北 | 简装 | 中楼层(共18层)  | 板塔结合,12人关注 / 一年前发布,160,"13,009元/平"
此房满五唯一，富硒养老度假老城盈滨海岸,盈滨海岸 -老城,2室2厅 | 86.74平米 | 南 | 简装 | 高楼层(共15层)  | 板塔结合,0人关注 / 4天以前发布,95,"10,953元/平"
南海之滨 两室两厅 精装修 户型好 适合居住,南海之滨 -老城,2室2厅 | 75平米 | 南 | 其他 | 中楼层(共25层)  | 板塔结合,0人关注 / 30天以前发布,100,"13,334元/平"
海口后花园  环境优美 小洋房 南北通透 一梯两户,天赐上湾 -老城,3室2厅 | 106.16平米 | 南 北 | 其他 | 高楼层(共5层)  | 暂无数据,54人关注 / 11个月以前发布,115,"10,833元/平"
四季康城四期水岸城邦 2室1厅 东南,四季康城四期水岸城邦 -老城,2室1厅 | 65.17平米 | 东南 | 精装 | 低楼层(共23层)  | 板塔结合,1人关注 / 27天以前发布,78,"11,969元/平"
海口西全龄社区，高层精装，小区配套齐全,四季康城三期荣和新城 -老城,2室2厅 | 68平米 | 北 | 精装 | 中楼层(共18层)  | 板塔结合,0人关注 / 20天以前发布,83,"12,206元/平"
低总价精装小户型 格局合理采光充足,美伦佳园 -老城,1室1厅 | 53.09平米 | 南 | 精装 | 低楼层(共11层)  | 板塔结合,0人关注 / 7天以前发布,55,"10,360元/平"
软件园旁 大同南海馨居 环境优雅  生活便利,大同南海馨居 -老城,2室2厅 | 66.83平米 | 北 | 精装 | 高楼层(共18层)  | 板塔结合,0人关注 / 8天以前发布,70,"10,475元/平"
美伦水岸花园 3室2厅 南 北,美伦水岸花园 -老城,3室2厅 | 118.34平米 | 南 北 | 毛坯 | 高楼层(共17层)  | 塔楼,0人关注 / 16天以前发布,118,"9,972元/平"
盈滨绿生花园 2室2厅 南 北,盈滨绿生花园 -老城,2室2厅 | 74.27平米 | 南 北 | 其他 | 中楼层(共18层)  | 板塔结合,14人关注 / 8个月以前发布,78,"10,503元/平"
恒大御景湾很好价格不高的房子，家具全，基本没住,恒大御景湾 -老城,2室1厅 | 94平米 | 东 西 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 8个月以前发布,103,"10,958元/平"
盈滨海岸 2室2厅 北,盈滨海岸 -老城,2室2厅 | 85平米 | 北 | 简装 | 低楼层(共18层)  | 塔楼,0人关注 / 1个月以前发布,100,"11,765元/平"
四季康城三期 2室2厅 毛坯 满五唯一 全款可谈,四季康城三期荣和新城 -老城,2室2厅 | 80.92平米 | 南 | 毛坯 | 中楼层(共18层)  | 暂无数据,0人关注 / 1个月以前发布,85,"10,505元/平"
碧海金珠 南北通透 好华装修 拎包入住,碧海·金珠花园 -老城,3室2厅 | 130.39平米 | 南 北 | 精装 | 高楼层(共24层)  | 板塔结合,1人关注 / 5个月以前发布,188,"14,419元/平"
此房满五唯一  采光通风好 拎包入住,中华坊 -老城,2室1厅 | 86平米 | 南 | 简装 | 低楼层(共18层)  | 板塔结合,7人关注 / 5个月以前发布,80,"9,303元/平"
澄迈长寿之乡恒大御景湾楼盘三房。,恒大御景湾 -老城,3室1厅 | 108.93平米 | 西北 | 精装 | 低楼层(共33层)  | 板塔结合,1人关注 / 29天以前发布,95.5,"8,768元/平"
此房金手指高尔夫温泉小镇 满二唯一 楼层位置佳,金手指高尔夫温泉小镇 -老城,2室2厅 | 66.66平米 | 西南 | 其他 | 高楼层(共9层)  | 板塔结合,0人关注 / 22天以前发布,56.5,"8,476元/平"
东汇•森语林 2室2厅 南,东汇•森语林 -老城,2室2厅 | 73.38平米 | 南 | 毛坯 | 高楼层(共18层)  | 暂无数据,0人关注 / 6天以前发布,72.4,"9,867元/平"
此房满五唯一 丽水湾二期69平精装2房,福隆丽水湾2期 -老城,2室2厅 | 69.9平米 | 南 | 精装 | 高楼层(共31层)  | 板楼,0人关注 / 5天以前发布,85,"12,161元/平"
东汇•森语林 2室2厅 东北,东汇•森语林 -老城,2室2厅 | 76.27平米 | 东北 | 毛坯 | 低楼层(共18层)  | 塔楼,0人关注 / 6天以前发布,80,"10,490元/平"
此房满二唯一 69平毛坯正规两房，好楼层，视野开阔,福隆丽水湾2期 -老城,2室2厅 | 69.97平米 | 南 | 毛坯 | 高楼层(共31层)  | 塔楼,0人关注 / 6天以前发布,80,"11,434元/平"
澄江广场3房2厅2卫    精装修    繁华地段,澄江广场 -老城,3室2厅 | 139.16平米 | 北 | 精装 | 中楼层(共24层)  | 板塔结合,0人关注 / 5天以前发布,120,"8,624元/平"
此房金手指高尔夫温泉小镇  楼层位置佳,金手指高尔夫温泉小镇 -老城,1室1厅 | 68平米 | 南 | 其他 | 中楼层(共11层)  | 板塔结合,0人关注 / 1个月以前发布,61,"8,971元/平"
南海之滨 2室2厅 南,南海之滨 -老城,2室2厅 | 79.19平米 | 南 | 其他 | 高楼层(共26层)  | 板楼,0人关注 / 15天以前发布,95,"11,997元/平"
开放商 品质楼盘 成熟社区配套齐全 高入住率,恒大御景湾 -老城,4室1厅 | 165.37平米 | 南 北 | 其他 | 高楼层(共18层)  | 板楼,3人关注 / 5个月以前发布,193,"11,671元/平"
老城四季康成三期荣和新城，精装修3+1房,四季康城三期荣和新城 -老城,3室2厅 | 109.88平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,5人关注 / 4个月以前发布,119,"10,830元/平"
此房户型佳 双阳台 小区环境优美 空气好,攬月灣 -福山,3室2厅 | 128.98平米 | 南 北 | 精装 | 低楼层(共18层)  | 板塔结合,2人关注 / 2个月以前发布,116,"8,994元/平"
小区环境好，房子户型好，出行方便,大同南海馨居 -老城,1室1厅 | 48.56平米 | 南 | 其他 | 高楼层(共18层)  | 板塔结合,0人关注 / 13天以前发布,55,"11,327元/平"
海南澄迈长寿之乡，海口西，一楼复式,香缇假日 -老城,3室2厅 | 140平米 | 南 | 其他 | 低楼层(共17层)  | 板塔结合,0人关注 / 17天以前发布,112,"8,000元/平"
小区环境好 高楼层 视野好 可看海,鲁能海蓝福源 -老城,2室2厅 | 87.32平米 | 北 | 简装 | 高楼层(共30层)  | 板塔结合,0人关注 / 22天以前发布,92,"10,536元/平"
软件园精装两室一厅，满五唯一。。。,新香缇假日 -老城,2室2厅 | 72.74平米 | 南 | 精装 | 低楼层(共17层)  | 板楼,0人关注 / 21天以前发布,66,"9,074元/平"
老城镇，软件园，小三室，户型方正，随时看房,海南软件园青年公寓 -老城,3室2厅 | 90.97平米 | 东北 | 毛坯 | 低楼层(共25层)  | 塔楼,0人关注 / 25天以前发布,80,"8,795元/平"
此房满五唯一 中高楼层 视野开阔 采光通风好 拎包入住,中华坊 -老城,2室1厅 | 82.28平米 | 南 | 其他 | 中楼层(共18层)  | 板塔结合,0人关注 / 5个月以前发布,88,"10,696元/平"
交通方便，配套齐全，充电桩，物业负责,东汇•森语林 -老城,2室2厅 | 75.08平米 | 东南 | 其他 | 中楼层(共18层)  | 板塔结合,1人关注 / 一年前发布,89,"11,855元/平"
后海银帆 2室2厅 南 北,后海银帆 -老城,2室2厅 | 84.98平米 | 南 北 | 其他 | 低楼层(共15层)  | 板塔结合,0人关注 / 9个月以前发布,93.5,"11,003元/平"
小区园林保护区  环境优美 空气好  适合度假养老,攬月灣 -福山,2室2厅 | 81.72平米 | 东南 | 精装 | 中楼层(共18层)  | 板塔结合,1人关注 / 4个月以前发布,76,"9,301元/平"
迎宾半岛，满五唯一，门口早市，大润发三甲医院,后海银帆 -老城,2室2厅 | 75.64平米 | 南 北 | 其他 | 中楼层(共15层)  | 板塔结合,6人关注 / 9个月以前发布,85,"11,238元/平"
满五唯一，环境优美，急售，盈滨绿生花园,盈滨绿生花园 -老城,3室2厅 | 93平米 | 北 | 精装 | 低楼层(共11层)  | 板塔结合,12人关注 / 一年前发布,97,"10,431元/平"
高品质小区，环境优美，矿物质温泉入户。,椰海温泉嘉苑 -老城,2室1厅 | 82平米 | 南 | 精装 | 中楼层(共17层)  | 板塔结合,0人关注 / 1个月以前发布,98,"11,952元/平"
此房为六楼 南北通透双阳台 户型好   价格便宜,海航幸福家园小区 -老城,2室2厅 | 95.71平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板塔结合,0人关注 / 2个月以前发布,53,"5,538元/平"
满五唯一，南北通双阳台，精装拎包住,盈滨绿生花园 -老城,3室2厅 | 122.71平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,35人关注 / 一年前发布,146,"11,898元/平"
总价低，南向两居，毛坯可随心装修，大社区绿化好,尚域世家 -老城,2室1厅 | 78.13平米 | 南 | 毛坯 | 高楼层(共18层)  | 板塔结合,1人关注 / 3个月以前发布,75,"9,600元/平"
南海阳光 2室2厅 西南,南海阳光 -老城,2室2厅 | 81平米 | 西南 | 精装 | 高楼层(共22层)  | 板塔结合,0人关注 / 1个月以前发布,92,"11,359元/平"
海口后花园，国企大盘，环境优美，交通便利,鲁能海蓝福源 -老城,2室2厅 | 75平米 | 东南 | 其他 | 低楼层(共18层)  | 板楼,3人关注 / 5个月以前发布,85,"11,334元/平"
满五唯一，视野开阔，视野开阔，配套设施齐全,鲁能海蓝福源 -老城,3室2厅 | 120平米 | 南 北 | 精装 | 低楼层(共11层)  | 板塔结合,5人关注 / 4个月以前发布,130,"10,834元/平"
四季康城一期 两房两厅两卫 看房方便 社区内有温泉,四季康城诗健苑 -老城,2室2厅 | 79.22平米 | 北 | 毛坯 | 低楼层(共18层)  | 板塔结合,33人关注 / 一年前发布,71,"8,963元/平"
后海温泉小镇，南北通透，户型方正，,后海银帆 -老城,2室1厅 | 75.64平米 | 南 北 | 其他 | 高楼层(共15层)  | 板塔结合,1人关注 / 4个月以前发布,78,"10,313元/平"
此房满五唯一 户型格局好，小区品质较高。,东汇•森语林 -老城,2室2厅 | 75.08平米 | 西南 | 其他 | 低楼层(共18层)  | 板塔结合,5人关注 / 一年前发布,78,"10,389元/平"
澄迈老城镇  海南生态软件园  小户型 价格好 交通方便,海南软件园青年公寓 -老城,2室2厅 | 69.86平米 | 南 | 毛坯 | 中楼层(共25层)  | 塔楼,1人关注 / 4个月以前发布,55,"7,873元/平"
此房环境好，户型方正，交通便利,海南生态软件园清风居 -老城,2室2厅 | 90.8平米 | 南 | 简装 | 低楼层(共11层)  | 板塔结合,0人关注 / 4个月以前发布,85,"9,362元/平"
高楼层     别墅区里高层    可看海,鲁能海蓝福源 -老城,3室2厅 | 116.62平米 | 北 | 精装 | 高楼层(共30层)  | 板塔结合,1人关注 / 1个月以前发布,129,"11,062元/平"
福隆丽水湾二期 ，方正倆房 高品质社区环境好,福隆丽水湾2期 -老城,2室2厅 | 73.95平米 | 北 | 毛坯 | 高楼层(共31层)  | 板楼,0人关注 / 1个月以前发布,75,"10,142元/平"
此房满五唯一 格局好户型通透小区环境好 有温泉,东汇•森语林 -老城,2室2厅 | 75平米 | 南 | 毛坯 | 高楼层(共18层)  | 板塔结合,0人关注 / 2个月以前发布,75,"10,000元/平"
福隆丽水湾3期 2室2厅 北,福隆丽水湾3期 -老城,2室2厅 | 73.44平米 | 北 | 其他 | 中楼层(共25层)  | 板塔结合,0人关注 / 1个月以前发布,100,"13,617元/平"
四大飘窗，采光视野好，交通方便，生活配套齐全。,香缇假日 -老城,5室2厅 | 124.43平米 | 南 | 精装 | 中楼层(共17层)  | 板塔结合,14人关注 / 4个月以前发布,90,"7,233元/平"
